No.,Ticker,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,Cash/sh,EPS past 5Y,Sales past 5Y,Insider Trans,Inst Own,Inst Trans,Short Ratio,ROE,Quick R,Debt/Eq,Profit M,SMA50,52W High,52W Low,All-Time High,All-Time Low,Price,Insider 6M Sum,Insider 6M Sum > 100K,Any profit over 5 years,Fundamental Score
3994,TRUE,Communication Services,Internet Content & Information,USA,339520000.0,-999.0,-999.0,-999.0,2.2,2.12,1.6,-0.2997,-0.173,0.0,0.7044,-0.0418,3.54,-0.3513,4.97,0.12,-0.4284,0.1782,-0.008,1.125,-0.8504,1.8769,3.74,0.0,False,True,3
2303,KT,Communication Services,Telecom Services,South Korea,7010000000.0,7.88,7.48,3.15,0.35,0.57,6.94,0.1857,-0.016,0.0,0.212,-0.0532,2.72,0.0769,1.1,0.68,0.0456,0.0833,-0.0084,0.2889,-0.8218,1.1366,14.23,0.0,False,True,5
796,CFBK,Financial,Banks - Regional,USA,142940000.0,8.13,-999.0,-999.0,1.37,0.76,-999.0,0.7032,0.3948,0.0022,0.2419,-0.0136,1.08,0.1214,-999.0,0.86,0.1669,0.1771,-0.0095,0.4838,-0.956,2.6017,21.79,100002.0,True,True,6
50,ACR,Real Estate,REIT - Mortgage,USA,85620000.0,-999.0,4.58,-999.0,0.4,0.2,11.86,-999.0,0.3434,0.0509,0.3611,-0.0473,0.48,0.0301,-999.0,4.07,-0.0288,0.1025,-0.0127,0.5287,-0.9553,2.5509,10.12,724526.0,True,True,3
1117,DB,Financial,Banks - Regional,Germany,27790000000.0,5.62,5.08,4.2,0.51,0.42,-999.0,0.7165,-0.0631,0.0,0.2727,-999.0,4.86,0.0815,-999.0,2.17,0.0863,0.0609,-0.0136,0.5627,-0.888,1.7715,13.83,0.0,False,True,3
3052,PAGS,Technology,Software - Infrastructure,Brazil,4470000000.0,14.15,10.96,1.28,1.48,1.68,1.84,0.1336,0.3005,0.0,0.5331,0.013,3.39,0.1322,1.43,0.95,0.1027,0.1559,-0.0153,0.9452,-0.7855,0.9452,13.48,0.0,False,True,6
2684,MTG,Financial,Insurance - Specialty,USA,5490000000.0,7.97,7.86,2.58,4.76,1.14,-999.0,0.0688,0.0062,0.0,0.9499,0.0067,5.35,0.1533,-999.0,0.13,0.6172,0.0486,-0.0222,0.6298,-0.7491,29.0881,19.81,0.0,False,True,5
2783,NGL,Energy,Oil & Gas Midstream,USA,767830000.0,-999.0,19.4,-999.0,0.1,1.53,0.02,0.1237,-0.0619,0.0,0.2828,-0.0443,5.61,0.053,1.0,2.05,-0.0082,0.1628,-0.0251,2.6604,-0.8742,4.82,5.82,0.0,False,True,2
1121,DBRG,Real Estate,Real Estate Services,USA,3260000000.0,-999.0,-999.0,-999.0,2.24,3.64,3.3,0.0064,0.0876,0.0,0.9252,0.0029,9.27,0.0487,-999.0,1.91,0.0019,0.1264,-0.0297,0.998,-0.7838,2.7519,19.96,0.0,False,False,3
2347,LCUT,Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA,191490000.0,-999.0,12.54,-999.0,0.28,0.85,0.29,-999.0,0.0137,0.0,0.353,-0.0027,0.82,-0.0339,1.12,1.38,-0.0114,0.284,-0.0298,1.0371,-0.7083,8.0515,8.78,0.0,False,True,4
2549,MFIC,Financial,Asset Management,USA,897890000.0,10.36,8.12,1.08,3.35,0.9,0.66,-0.215,-0.075,0.0,0.301,0.0484,7.14,0.087,-999.0,1.44,0.324,0.0052,-0.0323,0.3244,-0.8043,1.7326,13.76,0.0,False,True,3
1655,FUSB,Financial,Banks - Regional,USA,60810000.0,7.78,-999.0,-999.0,1.08,0.66,-999.0,0.2887,0.0626,0.0039,0.1764,-0.0111,0.54,0.0966,-999.0,0.23,0.1511,0.0725,-0.0327,0.6213,-0.7048,2.4305,10.36,25690.0,False,True,6
3785,STNE,Technology,Software - Infrastructure,Cayman Islands,5460000000.0,29.4,14.47,0.43,5.47,2.03,3.82,-0.2178,0.4611,0.0,0.7028,0.0082,2.14,0.079,1.27,0.33,0.2044,0.0835,-0.035,1.2509,-0.8086,1.6732,18.21,0.0,False,True,5
