No.,Ticker,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,Cash/sh,EPS past 5Y,Sales past 5Y,Insider Trans,Inst Own,Inst Trans,Short Ratio,ROE,Quick R,Debt/Eq,Profit M,SMA50,52W High,52W Low,All-Time High,All-Time Low,Price
1,A,Healthcare,Diagnostics & Research,USA,39070000000.0,31.75,22.03,4.12,5.72,6.66,5.43,0.3393,0.07,-0.082,0.9097,-0.0329,1.58,0.2224,1.97,0.5,0.1815,0.0056,-0.147,0.3775,-0.2574,17.8477,133.34
2,AA,Basic Materials,Aluminum,USA,4800000000.0,-999,11.0,-999,0.45,1.06,5.63,-999,-0.0301,0.0,0.8288,-0.0566,1.81,-0.1396,0.74,0.43,-0.0608,-0.084,-0.5176,0.1656,-0.7259,4.2112,26.89
3,AACI,Financial,Shell Companies,USA,87960000.0,-999,-999,-999,-999,5.23,0.01,-999,0.0,0.0,0.3117,0.2016,0.03,-0.0039,0.01,0.15,-999,0.0106,-0.0136,0.09,-0.1066,0.2734,10.9
4,AACT,Financial,Shell Companies,USA,656560000.0,-999,-999,-999,-999,1.32,0.04,-999,0.0,0.0,0.6387,-999,0.05,-999,8.96,0.01,-999,0.006,-0.0232,0.0406,-0.0232,0.0406,10.51
5,AAL,Industrials,Airlines,USA,9720000000.0,13.68,4.58,0.28,0.18,-999,12.99,-0.1677,0.1693,-0.0018,0.6001,0.0146,1.35,-999,0.51,-999,0.0156,0.0676,-0.2201,0.3702,-0.7481,0.8036,14.88
6,AAN,Industrials,Rental & Leasing Services,USA,315740000.0,35.46,9.58,-999,0.14,0.45,1.3,-999,0.0623,0.0851,0.9011,-0.0744,1.99,0.0133,-999,0.98,0.0042,-0.0165,-0.3558,0.5491,-0.7223,0.5491,10.41
7,AAOI,Technology,Communication Equipment,USA,711870000.0,-999,46.22,-999,3.25,3.85,0.88,-999,-0.0256,-0.0705,0.5006,-0.0268,2.48,-0.3313,0.51,0.74,-0.2854,0.0776,-0.1682,11.5188,-0.8063,12.5338,20.03
8,AAON,Industrials,Building Products & Equipment,USA,6610000000.0,39.88,34.06,3.32,5.92,9.69,0.28,0.1249,0.2199,-0.0212,0.7162,-0.002,6.68,0.281,1.5,0.15,0.1518,0.1573,0.0218,0.6289,0.0218,3058.7466,81.4
9,AAP,Consumer Cyclical,Specialty Retail,USA,3770000000.0,20.29,17.22,-999,0.33,1.42,5.34,0.0518,0.0392,0.0164,0.9792,-0.0344,3.11,0.0694,0.27,1.51,0.0165,0.033,-0.5916,0.3262,-0.7412,4.1338,63.3
10,AAPL,Technology,Consumer Electronics,USA,2916200000000.0,29.38,26.48,2.67,7.56,39.4,4.73,0.1555,0.0834,-0.044,0.6117,-0.0047,1.89,1.5427,1.02,1.46,0.2616,-0.0087,-0.054,0.3124,-0.054,3844.6767,188.85
11,AAT,Real Estate,REIT - Diversified,USA,1350000000.0,26.71,27.15,-999,3.06,1.13,1.37,0.0949,0.0614,0.0,0.7809,-0.018,3.92,0.0421,-999,1.41,0.1142,-0.0073,-0.1961,0.3877,-0.5481,0.3877,22.26
12,AB,Financial,Asset Management,USA,3710000000.0,14.19,9.66,-999,-999,1.88,0.0,-0.0129,0.0,-0.0017,0.1577,0.0271,2.17,0.1274,-999,0.0,-999,0.048,-0.2093,0.2857,-0.6502,12.8016,33.21
13,ABBV,Healthcare,Drug Manufacturers - General,USA,307350000000.0,63.85,14.28,-999,5.66,25.41,7.53,-0.0561,0.1176,-0.0013,0.7188,0.001,2.44,0.4615,0.84,5.02,0.0889,0.1006,-0.0104,0.3293,-0.0104,4.3547,174.08
14,ABCB,Financial,Banks - Regional,USA,3320000000.0,12.33,9.97,1.54,2.27,0.97,-999,0.0681,0.2693,0.0,0.9168,0.0045,3.24,0.0812,-999,0.19,0.1844,-0.0366,-0.1104,0.6954,-0.1975,13.3133,48.03
