No.,Ticker,Index,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,Cash/sh,Dividend,Payout Ratio,EPS next Q,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Sales Q/Q,EPS Q/Q,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Profit M,Perf Week,Perf Month,Perf Quart,Perf Year,Beta,SMA50,52W High,52W Low,All-Time High,All-Time Low,Earnings,Price
1,A,S&P 500,Healthcare,Diagnostics & Research,USA,45200000000.0,36.74,25.26,4.56,6.71,7.3,25.86,27.41,5.96,0.0061,0.2148,1.19,0.0115,0.1095,0.3393,0.0805,0.07,-0.0558,-0.0013,0.0042,-0.1135,0.9188,-0.0329,0.0161,0.2095,0.1395,2.68,2.04,0.43,0.44,0.5454,0.1835,0.0298,0.1645,0.1438,0.2071,1.11,0.0749,-0.0039,0.5933,-0.1411,20.8006,May 29/a,154.23
2,AA,-999,Basic Materials,Aluminum,USA,7400000000.0,-999,20.0,-999,0.7,1.85,5.25,-999,7.86,0.0085,-999,0.0,0.9646,26.6533,-999,0.443,-0.0277,-0.0307,-0.0848,0.012,-0.0128,0.8503,-0.0563,0.0688,-0.1548,-0.104,1.61,0.93,0.62,0.64,0.0159,-0.0633,0.1105,0.1621,0.5044,0.1219,2.43,0.1826,0.0093,0.7867,-0.5798,6.9884,Apr 17/a,41.22
3,AACI,-999,Financial,Shell Companies,USA,92480000.0,-999,-999,-999,-999,13.36,840.74,-999,0.01,-999,-999,-999,-999,-999,-999,-999,0.0,-999,-19.875,0.6871,0.0,0.1494,0.2018,0.0061,-0.0914,-0.2685,0.01,0.01,0.0,0.48,-999,-999,0.0044,0.026,0.0523,0.1541,-0.03,0.0137,-0.0854,0.1236,-0.0854,0.3388,-999,11.46
4,AACT,-999,Financial,Shell Companies,USA,663750000.0,39.25,-999,-999,-999,1.3,404.73,-999,0.03,-999,0.0,-999,-999,-999,-999,-999,0.0,-999,-999,0.212,0.0,0.6947,-999,0.0001,-999,0.0329,4.89,4.89,0.01,0.01,-999,-999,0.0,-0.0009,0.009,-999,-999,0.0027,-0.0126,0.052,-0.0126,0.052,-999,10.62
5,AADI,RUT,Healthcare,Biotechnology,USA,46890000.0,-999,-999,-999,1.97,0.52,0.53,-999,3.6,-999,-999,-0.69,-0.041,-0.1244,0.1187,-999,2.2526,-0.0876,-0.196,0.2923,-0.0334,0.4302,0.1361,0.065,-0.5822,-0.7547,5.16,4.86,0.01,0.08,0.877,-2.8872,0.073,0.0611,0.0053,-0.7382,0.66,-0.0538,-0.7779,0.2323,-0.9811,0.2323,May 08/b,1.91
6,AAL,S&P 500,Industrials,Airlines,USA,9660000000.0,24.69,4.58,0.51,0.18,-999,1.05,-999,14.01,-999,0.0,1.27,-0.0629,0.296,-0.1773,0.4795,0.1693,0.0313,-32.2961,0.0138,-0.002,0.5887,0.0145,0.0814,-999,0.0171,0.58,0.48,-999,-999,0.216,0.0094,0.0229,0.0506,0.0061,-0.0121,1.55,0.0345,-0.228,0.3564,-0.7507,0.7855,Apr 25/b,14.73
7,AAMC,-999,Financial,Mortgage Finance,USA,7010000.0,0.07,-999,-999,-999,2.16,0.63,0.86,4.39,-999,-999,-999,-999,-999,-0.2242,-999,1.4379,-0.8739,51.5368,0.7867,0.0,0.0195,-0.753,0.0288,-1.227,26.2303,-999,-999,0.17,3.71,0.824,-7.4778,-0.0317,-0.11,-0.375,-0.9455,-999,-0.1729,-0.9548,0.0537,-0.9961,0.0537,-999,2.75
8,AAME,-999,Financial,Insurance - Life,USA,34880000.0,-999,-999,-999,0.19,0.34,-999,3.94,-999,0.0234,-999,-999,-999,-999,0.125,-999,0.0022,0.0157,-0.358,0.8106,0.0,0.0474,0.013,0.0124,-0.007,-0.0079,0.62,-999,0.38,0.39,-999,-0.006,-0.0394,-0.1276,-0.316,-0.2227,0.42,-0.2424,-0.43,0.1477,-0.8929,3.7071,-999,1.71
9,AAN,RUT,Industrials,Rental & Leasing Services,USA,232480000.0,-999,10.95,-999,0.11,0.35,5.66,40.29,1.34,0.0659,5.5066,0.04,-0.8286,3.9951,-0.4278,-999,0.0401,-0.0773,-2.133,0.0406,-0.0076,0.8709,-0.0738,0.0167,-0.0352,-0.0177,-999,-999,1.04,1.05,0.5185,-0.0115,0.0188,0.0383,-0.2778,-0.4028,1.33,0.0492,-0.5303,0.1462,-0.7975,0.1462,May 06/a,7.59
10,AAOI,-999,Technology,Communication Equipment,USA,456220000.0,-999,14.97,-999,2.22,2.32,26.2,-999,0.45,-999,-999,-0.29,0.0179,2.899,-0.7426,0.13,-0.0251,-0.233,-0.0704,0.0772,0.0027,0.7603,-0.0247,0.2458,-0.3416,-0.2277,1.79,1.06,0.41,0.6,0.2757,-0.3065,0.1473,0.0056,-0.4506,5.7385,2.03,-0.0464,-0.5263,5.8971,-0.8866,6.9223,May 09/a,11.73
11,AAON,RUT,Industrials,Building Products & Equipment,USA,6160000000.0,34.8,27.08,2.9,5.29,7.84,216.99,45.4,0.35,0.0042,0.1501,0.51,-0.0009,0.258,0.3182,0.12,0.2388,-0.0145,0.0448,0.1759,-0.0295,0.7052,-0.002,0.044,0.258,0.2205,3.13,1.57,0.04,0.04,0.3427,0.1544,-0.0312,-0.1215,-0.1117,0.2278,0.79,-0.1172,-0.2228,0.4334,-0.2228,2813.666,May 02/a,74.88
12,AAP,-999,Consumer Cyclical,Specialty Retail,USA,4440000000.0,100.69,16.89,1.59,0.39,1.76,8.83,98.84,8.45,0.0134,4.5108,0.71,6.6808,0.1496,-0.3863,0.633,0.0337,-0.0036,-1.3299,0.0102,0.0166,1.0504,-0.0334,0.0804,0.017,0.0068,1.2,0.29,1.59,1.76,0.4036,0.0039,-0.0064,-0.0343,0.156,-0.3894,1.23,-0.0433,-0.3926,0.5619,-0.6952,5.0462,May 29/b,74.55
13,AAPL,"DJIA, NDX, S&P 500",Technology,Consumer Electronics,USA,2911490000000.0,29.53,26.38,2.68,7.63,39.25,43.36,28.57,4.38,0.0052,0.1532,1.33,0.0747,0.0924,0.1555,0.11,0.0834,-0.0431,0.0025,0.0009,-0.0451,0.6206,-0.0048,0.0062,1.4725,0.6047,1.04,0.99,1.24,1.41,0.4559,0.2631,0.0373,0.1367,0.0415,0.0995,1.25,0.0931,-0.0488,0.1572,-0.0488,3865.4474,May 02/a,189.87
14,AAT,RUT,Real Estate,REIT - Diversified,USA,1400000000.0,25.83,31.44,-999,3.15,1.17,14.18,11.44,1.62,0.0641,1.5763,0.14,-0.1667,0.0429,0.1484,-999,0.0614,0.0273,0.1901,0.243,0.0,0.7675,-0.018,0.0204,0.0449,0.0183,-999,-999,1.44,1.44,0.3566,0.1205,0.0456,0.1162,0.0537,0.2253,1.31,0.0737,-0.0406,0.3382,-0.5341,0.4307,Apr 30/a,22.95
15,AB,-999,Financial,Asset Management,USA,3900000000.0,13.99,10.03,-999,-999,1.87,-999,12.84,0.0,0.0883,1.1201,0.68,0.09,0.1508,-0.0129,-0.0388,0.0,-999,0.1335,0.0325,0.0,0.1648,0.0263,0.0119,0.1331,0.1325,-999,-999,0.0,0.0,-999,-999,0.039,0.0425,0.038,-0.0012,1.26,0.0069,-0.0555,0.3105,-0.6435,13.0675,Apr 25/a,33.85
16,ABAT,-999,Basic Materials,Other Industrial Metals & Mining,USA,88490000.0,-999,-999,-999,-999,1.19,14.6,-999,0.1,-999,-999,-0.12,-999,-999,-0.4601,-999,0.0,-999,-0.4899,0.0325,0.0,0.0887,0.0085,0.0854,-0.5422,-0.4798,0.61,0.57,0.0,0.15,-999,-999,0.1185,0.1103,-0.2488,-0.864,1.83,-0.0743,-0.8929,0.2479,-0.9795,3.1291,-999,1.51
17,ABBV,S&P 500,Healthcare,Drug Manufacturers - General,USA,293880000000.0,49.55,13.82,8.13,5.4,36.7,16.26,13.45,10.23,0.0375,2.2033,3.05,0.0117,0.0711,-0.0577,0.0609,0.1176,0.007,4.9696,0.0011,-0.1921,0.7274,0.001,0.0082,0.5592,0.0829,0.94,0.83,7.97,9.24,0.6899,0.1094,0.0353,0.0107,-0.0624,0.1609,0.58,-0.0216,-0.0901,0.2708,-0.0901,4.119,Apr 26/b,166.42
18,ABCB,RUT,Financial,Banks - Regional,USA,3490000000.0,12.3,10.32,1.54,2.35,1.0,-999,8.22,-999,0.0121,0.1541,1.14,0.145,0.0674,0.0683,0.08,0.2554,0.0773,0.2354,0.056,-0.0019,0.9239,0.0045,0.0149,0.084,0.0715,0.19,-999,0.14,0.22,-999,0.1905,0.012,0.1264,0.0639,0.5815,1.07,0.0637,-0.0656,0.6981,-0.1571,14.0345,Apr 25/a,50.45
