No.,Ticker,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,Cash/sh,EPS past 5Y,Sales past 5Y,Insider Trans,Inst Own,Inst Trans,Short Ratio,ROE,Quick R,Debt/Eq,Profit M,SMA50,52W High,52W Low,All-Time High,All-Time Low,Price,Insider 6M Sum,Insider 6M Sum > 100K,Any profit over 5 years,Fundamental Score
1055,CUTR,Healthcare,Medical Devices,USA,53040000.0,-999.0,-999.0,-999.0,0.23,-999.0,9.0,-999.0,0.1467,0.0211,1.0974,-0.0073,3.17,-44.4726,2.81,-999.0,-0.3329,-0.0633,-0.9263,0.9275,-0.9642,0.9275,2.66,346300.0,True,True,5
1263,EBS,Healthcare,Drug Manufacturers - Specialty & Generic,USA,80150000.0,-999.0,1.0,-999.0,0.07,0.11,1.69,-999.0,0.1476,0.0,0.8087,-0.0191,8.81,-0.7414,0.54,1.26,-0.7206,-0.2707,-0.9073,0.088,-0.9888,0.088,1.54,0.0,False,True,3
2498,MAXN,Technology,Solar,Singapore,264690000.0,-999.0,-999.0,-999.0,0.22,1.56,5.25,0.3074,0.0748,0.0,0.5513,0.0042,3.23,-1.1212,0.87,2.56,-0.1356,-0.0493,-0.8711,0.2826,-0.9135,0.2826,5.01,0.0,False,False,3
1103,DADA,Consumer Cyclical,Internet Retail,China,451970000.0,-999.0,7.73,-999.0,0.29,0.48,2.3,0.0039,0.4963,0.0,0.2327,-0.0664,1.3,-0.1508,3.26,0.0,-0.0961,-0.3277,-0.8707,0.2731,-0.9718,0.2731,1.73,0.0,False,False,6
2633,MOND,Consumer Cyclical,Travel Services,USA,196640000.0,-999.0,-999.0,-999.0,0.98,-999.0,0.56,-999.0,0.3557,0.0013,0.2208,-0.4973,17.84,-0.9989,1.1,4.18,-0.3468,-0.1135,-0.8393,0.1927,-0.8651,0.1927,2.29,522720.0,True,False,4
2425,LPSN,Technology,Software - Application,USA,213420000.0,-999.0,35.59,-999.0,0.5,4.59,2.65,-0.5677,0.2004,0.1267,0.6553,-0.0137,3.2,-1.5103,1.15,13.06,-0.2369,-0.1783,-0.8367,0.133,-0.9635,36.7143,2.64,6292761.0,True,False,3
1447,EXFY,Technology,Software - Application,USA,143130000.0,-999.0,31.4,-999.0,0.9,1.51,1.34,-999.0,0.301,0.0361,0.3899,-0.0156,2.43,-0.3945,2.43,0.69,-0.2369,-0.194,-0.8343,0.125,-0.9665,0.125,1.71,643005.0,True,False,4
4146,VERI,Technology,Software - Infrastructure,USA,66650000.0,-999.0,-999.0,-999.0,0.49,3.56,1.94,0.3518,0.5736,0.0099,0.362,0.0124,13.63,-1.4701,0.87,7.58,-0.4792,-0.0497,-0.8212,0.2128,-0.976,0.4713,1.79,101992.0,True,False,3
655,BW,Industrials,Specialty Industrial Machinery,USA,109480000.0,-999.0,49.0,-999.0,0.1,-999.0,0.61,0.6496,-0.0059,0.0959,0.779,0.0589,1.01,-6.5727,1.09,-999.0,-0.1365,-0.1308,-0.8206,0.2826,-0.9949,0.5909,1.23,235454.0,True,True,5
2623,MNY,Communication Services,Internet Content & Information,Singapore,72840000.0,-999.0,-999.0,-999.0,3.6,-999.0,0.38,-999.0,0.0,0.0,0.213,0.2423,0.52,-0.0517,0.04,-999.0,-0.6577,0.0802,-0.8188,1.562,-0.9269,1.562,1.89,0.0,False,False,3
