No.,Ticker,Index,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,Cash/sh,Dividend,Payout Ratio,EPS next Q,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Sales Q/Q,EPS Q/Q,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Profit M,Perf Week,Perf Month,Perf Quart,Perf Year,Beta,SMA50,52W High,52W Low,All-Time High,All-Time Low,Earnings,Price,Insider 6M Sum,Insider 6M Sum > 100K,Any profit over 5 years,NCAV,Fundamental Score
2788,NGMS,-999,Consumer Cyclical,Gambling,Israel,971910000.0,-999.0,94.13,-999.0,5.07,7.2,32.95,-999.0,0.88,-999.0,-999.0,-0.01,0.8956,6.4454,-0.1749,-999.0,0.9294,-0.31,-6.5992,0.6112,0.0,0.31,-0.0559,0.0057,-0.1302,-0.0507,1.13,1.1,1.66,1.67,0.2041,-0.0954,0.0021,0.0325,0.0321,1.0,1.14,0.0242,-0.0007,1.3102,-0.607,1.7035,Mar 06/a,28.9,0.0,False,True,-6.758,2
58,ACTG,RUT,Industrials,Business Equipment & Supplies,USA,464490000.0,20.9,8.02,1.04,3.71,0.68,1.14,-999.0,4.09,-999.0,0.0,0.0,-0.6076,0.871,-999.0,0.2,0.695,6.0354,2.3895,0.0209,0.0,0.8671,-0.0381,0.0069,0.1463,0.0929,20.06,19.67,0.02,0.02,0.5777,0.4309,0.1567,0.0764,0.2078,0.0242,0.43,0.1663,-0.0011,0.3557,-0.9016,3.8438,Mar 14/a,4.65,0.0,False,True,4.594,5
304,ARQ,-999,Industrials,Pollution & Treatment Controls,USA,188140000.0,-999.0,35.37,-999.0,1.9,1.05,4.15,-999.0,1.36,-999.0,-999.0,-0.07,0.6429,2.0667,-999.0,0.5,0.4734,0.2006,1.6041,0.3057,0.0145,0.1702,-0.0276,0.0011,-0.0769,-0.0604,3.75,2.9,0.15,0.18,0.2149,-0.1251,0.6795,0.7362,1.1119,1.6326,1.38,0.7443,-0.007,3.8376,-0.8059,4.66,Mar 12/a,5.66,0.0,False,True,False,4
2811,NL,RUT,Industrials,Security & Protection Services,USA,324230000.0,-999.0,-999.0,-999.0,2.01,0.88,1.93,9.04,3.43,0.0437,0.4038,0.19,-999.0,-999.0,0.4377,0.103,0.0869,0.0799,2.2512,0.8301,0.0,0.1078,0.0485,0.0117,-0.0061,-0.0062,7.17,6.16,0.0,0.0,0.3014,-0.0143,0.169,0.2434,0.3333,0.0779,0.63,0.2409,-0.009,0.4888,-0.7222,3.7319,Mar 06/a,6.64,0.0,False,True,0.683,5
2361,LFMD,-999,Healthcare,Health Information Services,USA,406930000.0,-999.0,-999.0,-999.0,2.67,110.01,12.28,47.21,0.82,-999.0,-999.0,-0.15,0.5914,0.1871,-0.2548,-999.0,0.9085,0.5953,0.6966,0.2269,0.0,0.3092,-0.0227,0.0875,-7.1995,-1.1021,1.22,1.15,5.13,5.39,0.8261,-0.1554,0.26,0.5112,0.3298,7.2623,1.42,0.5059,-0.0098,7.8421,-0.6947,66.2,Mar 11/a,10.08,0.0,False,False,-0.256,2
669,BWMX,-999,Consumer Cyclical,Specialty Retail,Mexico,709080000.0,19.6,8.08,-999.0,0.97,9.52,21.84,7.65,0.87,0.0645,0.7706,0.56,0.3125,0.0608,0.328,-999.0,0.4684,0.1802,-999.0,0.5365,0.0,0.1283,-0.3425,0.0079,0.8309,0.1587,1.04,0.51,3.31,3.73,0.7225,0.0811,0.0326,0.4169,0.3131,0.7226,0.96,0.3008,-0.0099,1.0321,-0.6208,2.351,Feb 22/a,19.0,0.0,False,True,-151.559,2
3904,TGB,-999,Basic Materials,Copper,Canada,554820000.0,9.13,10.07,-999.0,1.43,1.68,7.48,-999.0,0.26,-999.0,0.0,0.03,-0.0006,0.702,-999.0,-999.0,0.0915,0.5974,30.3621,0.0311,0.0,0.1847,0.0298,0.0179,0.2056,0.0769,1.77,0.9,1.41,1.47,0.2787,0.1565,0.0977,0.2819,0.5528,0.2905,1.95,0.2907,-0.0104,0.819,-0.8797,16.3636,Mar 08/b,1.91,0.0,False,True,-2.93,2
2684,MTG,-999,Financial,Insurance - Specialty,USA,5660000000.0,8.44,8.18,2.73,4.9,1.13,-999.0,7.96,-999.0,0.0225,0.1729,0.6,-0.0264,0.0421,0.0688,0.0309,0.0062,-0.0284,0.0342,0.0129,0.0,0.9666,0.0067,0.0384,0.1468,0.1247,2.58,-999.0,0.13,0.13,-999.0,0.6172,0.0628,0.0842,0.1231,0.6672,1.22,0.0695,-0.0104,0.7269,-0.7341,30.8803,Jan 31/a,20.99,0.0,False,True,False,4
1605,FREE,-999,Consumer Defensive,Packaged Foods,USA,204440000.0,-999.0,12.55,-999.0,0.37,0.81,6.7,10.65,0.71,-999.0,-999.0,-0.02,1.1389,2.04,-999.0,-999.0,0.2296,0.0883,0.8805,0.3752,0.0,0.4504,-0.0178,0.0538,-0.1448,-0.0557,3.24,1.12,1.72,1.76,0.2269,-0.0692,0.0,0.0021,0.4953,0.6737,0.58,0.1432,-0.0104,1.2823,-0.6809,1.2823,Mar 12/b,4.77,0.0,False,True,-5.921,3
3054,PAGP,-999,Energy,Oil & Gas Midstream,USA,3440000000.0,17.17,10.45,-999.0,0.07,2.21,7.58,1.59,2.3,0.0729,1.0538,0.45,0.4927,0.1063,-0.0303,0.0,0.1384,-0.0228,3.2111,0.0271,0.0117,0.8416,0.0143,0.0538,0.1289,0.0217,0.98,0.87,4.9,5.23,0.0357,0.0041,0.0,0.0641,0.134,0.4229,1.51,0.0446,-0.0111,0.4784,-0.7966,4.7336,Feb 09/a,17.43,1006694.0,True,True,-44.181,2
2785,NGD,-999,Basic Materials,Gold,Canada,1170000000.0,-999.0,11.53,-999.0,1.48,1.48,6.05,-999.0,0.28,-999.0,-999.0,0.01,0.3009,0.6184,0.4646,0.05,0.0676,0.1954,-0.6129,0.0565,0.0,0.4667,-0.0235,0.0056,-0.0738,-0.0543,1.54,0.98,0.51,0.51,0.108,-0.0821,0.1333,0.4912,0.1644,0.9717,1.51,0.2995,-0.0202,1.0732,-0.8799,3.3579,Feb 13/a,1.7,0.0,False,True,-1.67,3
1300,EGY,RUT,Energy,Oil & Gas E&P,USA,582590000.0,9.72,5.99,4.86,1.28,1.4,4.81,4.61,1.15,0.0486,0.4414,0.25,0.2379,0.2052,-0.1892,0.02,0.5256,0.5442,1.5326,0.0169,0.0003,0.5313,-0.0256,0.0235,0.1275,0.1081,1.79,1.77,0.16,0.19,0.4057,0.1324,0.2914,0.3066,0.2736,0.3578,1.23,0.2712,-0.0203,0.5783,-0.6425,43.3292,Mar 13/a,5.54,0.0,False,True,-1.585,5
3531,SB,RUT,Industrials,Marine Shipping,Monaco,553640000.0,8.12,5.95,0.58,1.95,0.7,6.16,-999.0,0.81,0.0459,0.3277,0.14,0.3162,0.1509,0.3064,0.14,0.1124,-0.0504,-0.1697,0.4336,0.0,0.221,-0.0621,0.034,0.0989,0.0544,2.63,2.33,0.61,0.64,0.4198,0.2438,0.0,0.1952,0.3053,0.4335,1.02,0.1558,-0.0236,0.67,-0.7489,15.7738,Feb 12/a,4.96,0.0,False,True,-3.589,6
3640,SKYH,-999,Industrials,Aerospace & Defense,USA,312870000.0,-999.0,-999.0,-999.0,52.58,8.72,2.34,-999.0,5.54,-999.0,-999.0,-0.12,-999.0,-999.0,-999.0,-999.0,0.0846,4.8051,0.6976,0.6405,0.0,0.3902,-0.1669,0.038,-0.2118,-0.0203,9.9,9.9,10.06,10.06,-0.4247,-0.8544,0.0181,0.1135,0.143,0.5793,1.76,0.0749,-0.0278,2.1205,-0.7017,4.18,Nov 10/b,12.95,0.0,False,False,-5.291,2
79,ADV,RUT,Communication Services,Advertising Agencies,USA,1360000000.0,-999.0,7.7,-999.0,0.32,1.22,9.53,7.07,0.45,-999.0,-999.0,0.08,4.405,0.1694,-999.0,-0.051,0.0772,-0.0209,1.0115,0.928,0.001,0.1928,-0.0744,0.2862,-0.0564,-0.0211,1.87,1.81,1.69,1.72,0.0814,-0.015,0.1039,0.1039,0.3158,1.2727,1.65,0.0967,-0.0319,2.7611,-0.6947,2.7611,Feb 29/b,4.25,659305.0,True,True,-5.191,3
2288,KRO,RUT,Basic Materials,Specialty Chemicals,USA,1300000000.0,-999.0,15.98,-999.0,0.78,1.6,6.58,-999.0,1.71,0.0337,0.84,-0.01,1.894,0.8341,-999.0,-0.0948,0.0078,0.1685,0.7326,0.813,0.0,0.1536,0.0484,0.0614,-0.0556,-0.0387,3.01,1.49,0.57,0.57,0.0989,-0.0295,0.0899,0.3322,0.2734,0.3014,1.15,0.2135,-0.033,0.8295,-0.6733,3.9215,Mar 06/a,11.27,10652.0,False,True,0.762,3
203,AMED,-999,Healthcare,Medical Care Facilities,USA,3050000000.0,-999.0,18.64,-999.0,1.36,2.86,20.88,23.14,4.46,-999.0,0.0,1.06,0.0581,0.0992,-999.0,0.0184,0.0786,0.0155,-0.3965,0.0254,0.0,0.9524,0.0391,0.0985,-0.0092,-0.0065,1.05,1.05,0.4,0.46,0.3775,-0.0044,0.001,0.0001,-0.0192,0.2035,0.86,-0.0076,-0.0335,0.3438,-0.7133,164.7067,Feb 21/a,93.21,0.0,False,True,-13.575,3
302,AROC,RUT,Energy,Oil & Gas Equipment & Services,USA,2930000000.0,28.09,16.09,-999.0,2.95,3.35,2183.39,253.31,0.01,0.0372,0.913,0.22,0.4925,0.1633,0.2928,-0.1291,0.024,0.1861,2.1818,0.1433,0.0,0.9113,-0.0079,0.0318,0.119,0.0417,1.4,0.86,1.83,1.84,0.3787,0.104,0.0412,0.1513,0.2717,0.9359,1.58,0.1219,-0.036,1.1319,-0.6666,7.9569,Feb 20/a,18.72,0.0,False,True,-10.057,3
1610,FRO,-999,Energy,Oil & Gas Midstream,Cyprus,5260000000.0,8.02,6.79,-999.0,2.92,2.31,16.67,-999.0,1.42,0.1192,0.9733,0.84,0.2021,-0.0183,-999.0,-999.0,0.2798,0.0859,-0.2335,0.357,0.0,0.2576,-0.098,0.0426,-999.0,0.1199,1.78,1.79,1.4,1.52,0.4307,0.3642,0.0194,0.019,0.2513,0.4644,0.11,0.0517,-0.0361,0.7715,-0.9346,5.2401,Feb 29/b,23.65,0.0,False,True,-6.82,3
1377,ERF,-999,Energy,Oil & Gas E&P,Canada,3720000000.0,8.73,7.88,0.21,2.24,3.01,55.71,9.72,0.33,0.0139,0.1101,0.34,-0.0505,0.1698,0.1185,0.4226,0.3042,-0.2034,-0.6369,0.0515,0.0,0.6054,0.0281,0.0238,0.3959,0.3386,0.8,0.8,0.1,0.17,0.3699,0.2742,0.027,0.1702,0.2485,0.3825,1.98,0.1604,-0.0381,0.4245,-0.6923,14.9043,Feb 22/a,18.29,0.0,False,True,-2.252,4
164,ALIM,-999,Healthcare,Drug Manufacturers - Specialty & Generic,USA,220390000.0,-999.0,-999.0,-999.0,2.73,4.77,18.23,-999.0,0.23,-999.0,-999.0,-0.07,0.9114,0.2857,0.2142,-999.0,0.134,0.8751,0.8713,0.0993,0.0,0.9213,0.0045,0.0025,-1.5876,-0.1897,2.39,2.31,1.44,1.46,0.7575,-0.2649,0.0605,0.2605,0.1138,1.6149,1.17,0.1179,-0.0388,2.2385,-0.9779,-999.0,Mar 07/b,4.21,0.0,False,False,-1.049,3
