No.,Ticker,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,Cash/sh,EPS past 5Y,Sales past 5Y,Insider Trans,Inst Own,Inst Trans,Short Ratio,ROE,Quick R,Debt/Eq,Profit M,SMA50,52W High,52W Low,All-Time High,All-Time Low,Price,Insider 6M Sum,Insider 6M Sum > 100K,Any profit over 5 years
8,CUTR,Healthcare,Medical Devices,USA,59420000.0,-999,-999,-999,0.26,-999,9.0,-999,0.1467,0.0211,1.113,-0.0073,3.1,-44.4726,2.81,-999,-0.3329,0.0871,-0.9202,1.1594,-0.9599,1.1594,2.98,346300.0,True,True
10,TWOU,Consumer Defensive,Education & Training Services,USA,94380000.0,-999,-999,-999,0.1,0.37,0.66,-0.4735,0.2457,0.0174,0.7666,0.0055,3.23,-0.7649,0.74,3.82,-0.3098,0.0681,-0.9125,0.5738,-0.9883,0.5738,1.15,192093.0,True,False
11,RBT,Technology,Software - Application,USA,52390000.0,-999,-999,-999,0.08,-999,0.36,-999,0.1584,0.0317,0.1415,0.2793,2.14,-1.8987,0.68,-999,-0.0813,-0.2104,-0.9116,0.4553,-0.9833,0.4553,1.4,149167.0,True,False
36,VERI,Technology,Software - Infrastructure,USA,66650000.0,-999,-999,-999,0.49,3.56,1.94,0.3518,0.5736,0.0099,0.3576,0.0124,13.27,-1.4701,0.87,7.58,-0.4792,-0.0806,-0.8367,0.2128,-0.976,0.4713,1.79,101992.0,True,False
38,LPSN,Technology,Software - Application,USA,249800000.0,-999,41.66,-999,0.58,5.38,2.65,-0.5677,0.2004,0.1242,0.6929,-0.0137,3.05,-1.5103,1.15,13.06,-0.2369,-0.0548,-0.8299,0.3262,-0.9572,43.1429,3.09,6292761.0,True,False
41,MOND,Consumer Cyclical,Travel Services,USA,214680000.0,-999,-999,-999,1.07,-999,0.56,-999,0.3557,0.0013,0.2241,-0.4973,17.37,-0.9989,1.1,4.18,-0.3468,-0.0959,-0.8246,0.3021,-0.8528,0.3021,2.5,522720.0,True,False
54,CMBM,Technology,Communication Equipment,USA,124240000.0,-999,-999,-999,0.47,0.95,0.99,0.1589,0.0594,0.0023,0.3434,0.0021,1.17,-0.1119,1.36,0.23,-0.055,-0.072,-0.8037,0.272,-0.9324,0.272,4.49,200567.0,True,True
64,SEDG,Technology,Solar,Israel,4050000000.0,19.52,139.98,1.84,1.14,1.63,18.1,-0.0272,0.3686,0.0422,0.901,0.0173,2.34,0.0958,2.49,0.29,0.0613,-0.1293,-0.794,0.1265,-0.8172,5.2775,71.25,1610670.0,True,True
65,BW,Industrials,Specialty Industrial Machinery,USA,126910000.0,-999,56.8,-999,0.12,-999,0.61,0.6496,-0.0059,0.0945,0.8128,0.0589,1.03,-6.5727,1.09,-999,-0.1365,-0.0377,-0.7921,0.4868,-0.9941,0.8442,1.42,222129.0,True,True
66,TPIC,Industrials,Specialty Industrial Machinery,USA,131120000.0,-999,-999,-999,0.08,-999,3.99,-999,0.1184,0.0181,0.9865,0.1126,3.2,-0.5478,1.44,1.59,-0.1594,0.0314,-0.79,0.8896,-0.9621,0.8896,3.08,103841.0,True,True
70,PIII,Healthcare,Medical Care Facilities,USA,139440000.0,-999,-999,-999,0.12,0.74,0.5,-999,0.4723,0.019,0.1958,0.0014,7.87,-0.9498,0.67,0.65,-0.1073,-0.0087,-0.7824,0.7278,-0.9277,0.7278,1.21,4211163.0,True,False
72,CTSO,Healthcare,Medical Devices,USA,53250000.0,-999,-999,-999,1.44,2.42,0.16,-0.1877,0.1521,0.0391,0.31,-0.0291,5.9,-0.8131,1.36,0.97,-0.6323,-0.1789,-0.7778,0.2143,-0.9897,0.36,1.02,314582.0,True,False
73,SKIN,Consumer Defensive,Household & Personal Products,USA,409560000.0,-999,62.81,-999,1.03,4.6,4.26,-999,0.4351,0.0049,0.8125,-0.0093,2.04,-0.5113,5.27,8.36,-0.2227,0.1337,-0.7755,1.3111,-0.8966,1.3111,3.12,1348188.0,True,False
77,TSE,Basic Materials,Specialty Chemicals,USA,244640000.0,-999,-999,-999,0.06,-999,7.91,-999,0.0828,0.1289,0.8578,-0.059,1.8,-2.3662,1.24,-999,-0.2102,0.0174,-0.7724,0.334,-0.9186,0.334,6.95,763480.0,True,False
82,LUMN,Communication Services,Telecom Services,USA,1370000000.0,-999,-999,-999,0.09,0.62,0.31,-999,-0.0703,0.0872,0.6754,0.0065,7.37,-1.5372,1.07,9.1,-0.7663,-0.1135,-0.7647,0.7434,-0.9723,0.7434,1.36,1617366.0,True,True
112,COMM,Technology,Communication Equipment,USA,528030000.0,-999,3.25,-999,0.07,-999,2.45,-999,0.2325,0.0688,0.9032,-0.002,2.16,-18.3838,1.2,-999,-0.2674,0.0999,-0.7209,0.8582,-0.9418,0.8582,2.49,906835.0,True,True
114,TCS,Consumer Cyclical,Specialty Retail,USA,83790000.0,-999,24.3,-999,0.09,0.36,0.2,-999,0.0421,0.006,0.3909,-0.0158,2.22,-0.6593,0.29,2.49,-0.235,-0.1807,-0.7207,0.08,-0.9656,0.08,1.62,255552.0,True,True
129,STEM,Technology,Software - Infrastructure,USA,523820000.0,-999,-999,-999,1.17,1.16,0.8,-6.974,1.0895,0.0035,0.7087,0.0211,8.8,-0.268,1.58,1.34,-0.307,0.0054,-0.7042,0.4421,-0.9347,0.4421,3.36,176375.0,True,False
130,PETS,Healthcare,Pharmaceutical Retailers,USA,141700000.0,-999,46.21,-999,0.52,1.25,2.53,-0.6368,-0.0101,0.0658,0.5841,-0.0886,7.43,-0.0483,1.64,0.02,-0.0225,-0.0854,-0.7041,0.2182,-0.8841,76.8136,6.7,451683.0,True,True
150,IHRT,Communication Services,Broadcasting,USA,409390000.0,-999,33.79,-999,0.11,-999,1.48,0.1753,0.0317,0.0052,0.7641,-0.0056,6.97,-12.3276,1.82,-999,-0.2719,0.1348,-0.6859,0.5944,-0.8998,0.5944,2.83,407016.0,True,True
163,BCOV,Technology,Software - Application,USA,104760000.0,-999,25.37,-999,0.52,1.13,0.38,0.1768,0.0645,0.0543,0.7686,0.0016,4.0,-0.2635,0.64,0.24,-0.1287,-0.0254,-0.6739,0.1476,-0.9055,0.1476,2.41,411402.0,True,True
177,GLT,Basic Materials,Paper & Paper Products,USA,73950000.0,-999,-999,-999,0.05,0.29,1.25,-999,0.1543,2.3633,0.7895,-0.0402,5.66,-0.3614,1.15,3.37,-0.0726,0.0498,-0.6629,0.2615,-0.9488,0.2615,1.64,2374207.0,True,True
190,OLPX,Consumer Cyclical,Specialty Retail,USA,1600000000.0,20.62,13.87,-999,3.36,1.91,0.66,-999,0.7338,0.0001,0.2005,-0.0155,3.23,0.1024,8.68,0.78,0.17,0.0727,-0.6549,0.8216,-0.9194,0.8216,2.45,150179.0,True,True
192,SHYF,Industrials,Farm & Heavy Construction Machinery,USA,404280000.0,14.45,20.49,0.96,0.42,1.58,0.29,0.1749,0.1806,0.0104,0.8517,0.0129,3.14,0.1138,1.05,0.52,0.0296,0.0146,-0.6543,0.1347,-0.7837,69.2834,11.79,174739.0,True,True
193,AMRC,Industrials,Engineering & Construction,USA,1190000000.0,26.06,12.28,0.96,0.94,1.37,3.15,0.1676,0.2426,0.0032,0.6231,-0.0038,6.7,0.0559,1.13,1.71,0.0368,-0.2066,-0.6541,0.238,-0.7764,4.8261,22.78,1150057.0,True,True
198,UEIC,Technology,Consumer Electronics,USA,117460000.0,-999,27.48,-999,0.26,0.65,4.64,-999,-0.0489,0.125,0.6818,-0.0191,1.73,-0.4365,1.04,0.5,-0.22,0.0771,-0.6499,0.292,-0.8872,3.8373,9.07,2167407.0,True,True
202,ASYS,Technology,Semiconductor Equipment & Materials,USA,60020000.0,-999,-999,-999,0.53,0.68,0.93,-999,0.047,0.049,0.6256,-0.0081,0.61,-0.1348,1.56,0.25,-0.111,-0.2235,-0.6469,0.1774,-0.8627,3.512,4.23,792055.0,True,True
204,HROW,Healthcare,Drug Manufacturers - Specialty & Generic,USA,351200000.0,-999,63.83,-999,3.08,4.64,2.1,0.0303,0.2243,0.0156,0.7766,-0.0457,7.89,-0.3692,5.33,2.5,-0.1244,0.0172,-0.646,0.3158,-0.9375,19.0,10.0,990926.0,True,True
211,CNTY,Consumer Cyclical,Resorts & Casinos,USA,113850000.0,-999,-999,-999,0.22,0.88,6.23,0.0109,0.2678,0.0097,0.6264,-0.0111,7.71,-0.1565,2.39,7.89,-0.042,-0.1482,-0.6398,0.1228,-0.7719,9.0,3.75,236815.0,True,True
237,FTK,Energy,Oil & Gas Equipment & Services,USA,91350000.0,-999,9.48,-999,0.47,0.92,0.15,-0.0527,0.269,0.0793,0.1043,-0.0069,7.66,0.0597,1.27,0.14,0.0185,-0.1233,-0.614,0.0621,-0.9907,1.5667,3.08,336549.0,True,False
255,RILY,Financial,Financial Conglomerates,USA,741260000.0,-999,-999,-999,0.51,1.79,138.45,-999,0.3389,0.0047,0.4847,-0.0418,7.3,-0.1461,-999,5.94,-0.0521,0.1181,-0.6008,0.4559,-0.8433,154.1678,24.24,2002686.0,True,True
256,GNSS,Technology,Scientific & Technical Instruments,USA,71770000.0,-999,34.93,-999,1.54,1.79,0.25,-0.3399,0.135,0.2714,0.4242,-0.0143,2.37,-0.4369,1.63,0.16,-0.3942,-0.0557,-0.5995,0.0711,-0.8901,4.4958,1.63,2967750.0,True,True
258,BWEN,Industrials,Specialty Industrial Machinery,USA,52050000.0,14.45,-999,0.6,0.26,0.97,0.08,-0.1484,0.1207,0.0164,0.3311,0.2121,1.38,0.0724,0.71,0.9,0.0189,-0.0076,-0.599,0.209,-0.9916,2.645,2.43,129503.0,True,True
263,SPWH,Consumer Cyclical,Specialty Retail,USA,153010000.0,-999,-999,-999,0.12,0.56,0.08,0.1883,0.1394,0.1041,0.9503,-0.0691,4.42,-0.0332,0.09,2.01,-0.0071,-0.0926,-0.5976,0.3725,-0.7784,0.3725,4.09,571111.0,True,True
269,SLQT,Financial,Insurance Brokers,USA,199600000.0,-999,-999,-999,0.19,0.63,0.29,-999,0.3806,0.0189,0.3503,0.0171,2.06,-0.1399,2.49,2.29,-0.0439,-0.0842,-0.5952,0.5455,-0.9639,1.3333,1.19,759170.0,True,True
276,DDD,Technology,Computer Hardware,USA,689830000.0,-999,97.92,-999,1.36,0.99,3.34,-0.1021,-0.055,0.024,0.6609,-0.0184,5.0,-0.1335,4.25,0.76,-0.1892,-0.0691,-0.5919,0.4771,-0.9469,9.34,5.17,493400.0,True,True
279,NOTV,Healthcare,Diagnostics & Research,USA,88980000.0,-999,-999,-999,0.16,0.33,1.38,-1.8424,1.3362,0.0114,0.2512,-0.0915,3.98,-0.334,1.05,1.55,-0.1837,0.0754,-0.5905,1.1429,-0.9431,4.75,3.45,163981.0,True,True
287,ASPS,Real Estate,Real Estate Services,Luxembourg,82680000.0,-999,-999,-999,0.54,-999,1.38,-999,-0.3213,0.0059,0.231,-0.0305,7.35,-999,-999,-999,-0.3538,-0.1262,-0.5868,0.3082,-0.9818,0.3082,3.12,300002.0,True,True
309,AAP,Consumer Cyclical,Specialty Retail,USA,3980000000.0,21.46,18.09,-999,0.35,1.5,5.34,0.0518,0.0392,0.0164,0.9802,-0.0348,3.04,0.0694,0.27,1.51,0.0165,0.1378,-0.5768,0.4029,-0.7262,4.4307,66.96,580486.0,True,True
329,GRWG,Consumer Cyclical,Specialty Retail,USA,157570000.0,-999,-999,-999,0.68,0.79,1.09,-0.7178,1.0045,0.2702,0.4215,-0.0188,2.98,-0.1587,2.17,0.22,-0.148,0.011,-0.5637,0.452,-0.9621,0.7133,2.57,1976973.0,True,True
331,HQI,Industrials,Staffing & Employment Services,USA,179310000.0,20.12,15.18,-999,4.96,2.85,0.08,0.2251,0.2907,0.0056,0.1033,-0.0724,6.43,0.1449,1.51,0.24,0.2444,-0.1347,-0.5609,0.0328,-0.8785,20.5,12.9,829608.0,True,True
344,SUP,Consumer Cyclical,Auto Parts,USA,92420000.0,-999,2.11,-999,0.06,-999,6.28,-999,0.0395,0.0197,0.2543,-0.0035,1.71,-0.5159,1.49,4.07,-0.0759,0.0986,-0.5542,0.3213,-0.9388,10.7414,3.29,488034.0,True,True
350,MATV,Basic Materials,Specialty Chemicals,USA,706230000.0,-999,10.1,-999,0.28,1.05,1.56,-999,0.2195,0.0068,0.9411,0.8559,1.91,-0.5259,1.36,2.67,-0.1854,-0.0426,-0.5505,0.1233,-0.7949,1.2661,13.03,143860.0,True,True
358,OPK,Healthcare,Diagnostics & Research,USA,788520000.0,-999,-999,-999,0.91,0.55,0.18,0.0351,0.0761,0.02,0.2455,-0.0275,10.21,-0.1351,1.44,0.21,-0.2394,-0.2502,-0.5446,0.1977,-0.9469,3.8571,1.02,7816470.0,True,True
362,DOUG,Real Estate,Real Estate Services,USA,203080000.0,-999,-999,-999,0.21,0.82,1.48,-999,0.1573,0.0093,0.5042,-0.0028,0.45,-0.174,-999,0.55,-0.0491,-0.0166,-0.5437,0.4586,-0.8101,0.4586,2.29,315273.0,True,True
389,PL,Industrials,Aerospace & Defense,USA,699870000.0,-999,-999,-999,3.26,1.31,1.13,0.322,-0.0957,0.0008,0.2667,0.0874,5.05,-0.2629,2.94,0.05,-0.6902,0.0349,-0.527,0.2312,-0.7984,0.2312,2.45,256950.0,True,False
390,KRMD,Healthcare,Medical Instruments & Supplies,USA,96820000.0,-999,-999,-999,3.38,3.53,0.24,-999,0.1344,0.0245,0.5608,0.0109,8.85,-0.2754,4.03,0.17,-0.2878,-0.0639,-0.5268,0.06,-0.8349,140.3333,2.12,114742.0,True,True
396,RMAX,Real Estate,Real Estate Services,USA,210670000.0,-999,8.62,-999,0.64,0.5,6.62,-0.109,0.1453,0.2758,0.9045,-0.08,0.98,-0.1306,-999,1.17,-0.1799,0.0478,-0.5243,0.3415,-0.8289,0.3415,11.55,4078251.0,True,True
403,CYH,Healthcare,Medical Care Facilities,USA,523940000.0,2.12,36.3,-999,0.04,-999,0.67,-999,-0.0345,0.1003,0.8062,-0.0765,2.73,-999,1.36,-999,0.0188,0.2369,-0.5218,0.9055,-0.9284,1.1397,3.83,2110000.0,True,True
444,HAIN,Consumer Defensive,Packaged Foods,USA,987710000.0,-999,19.57,-999,0.55,1.01,0.43,-999,-0.0597,0.0674,0.9503,0.0562,2.5,-0.1324,1.02,0.94,-0.0751,0.0202,-0.5027,0.1763,-0.8442,7.808,11.01,824794.0,True,True
468,TNDM,Healthcare,Medical Devices,USA,1520000000.0,-999,-999,-999,1.98,4.85,7.64,0.3516,0.4741,0.0262,1.0736,0.0197,3.19,-0.5666,3.28,1.33,-0.2702,-0.0389,-0.4914,0.691,-0.9227,9.9206,23.37,241507.0,True,True
496,EP,Energy,Oil & Gas E&P,USA,159770000.0,-999,-999,-999,4.09,8.49,0.48,-999,5.0266,0.2258,0.4275,0.5859,7.59,-0.4623,1.0,0.89,-0.2552,-0.1793,-0.4791,0.2332,-0.9316,217.125,6.98,10076607.0,True,True
531,GME,Consumer Cyclical,Specialty Retail,USA,4520000000.0,-999,105.57,-999,0.79,3.58,3.98,-999,-0.0592,0.0001,0.2859,-0.0447,9.71,-0.0065,0.94,0.49,-0.0014,-0.0307,-0.4655,0.2499,-0.8776,22.0039,14.78,111791.0,True,False
541,RMBL,Consumer Cyclical,Auto & Truck Dealerships,USA,256010000.0,-999,-999,-999,0.18,0.7,1.7,0.0085,1.5075,0.3467,0.3822,0.0446,3.66,-1.0017,0.31,4.67,-0.233,0.0584,-0.4601,0.4314,-0.9668,1.4333,7.3,18938090.0,True,False
555,VFC,Consumer Cyclical,Apparel Manufacturing,USA,6820000000.0,-999,9.17,-999,0.6,3.08,1.29,-0.3444,0.0021,0.0036,0.8863,0.0046,3.17,-0.0813,0.78,3.53,-0.0189,0.0006,-0.4544,0.3642,-0.8251,38.4033,17.53,1361448.0,True,True
556,CTV,Communication Services,Advertising Agencies,USA,209430000.0,-999,-999,-999,1.55,1.08,0.34,-999,0.3601,0.0059,0.2501,0.0711,4.16,-0.1693,4.37,0.11,-0.2496,0.0197,-0.4542,0.9867,-0.8562,0.9867,1.49,353335.0,True,False
578,FNKO,Consumer Cyclical,Leisure,USA,377070000.0,-999,-999,-999,0.33,1.57,0.63,-999,0.2105,0.0788,0.6567,0.0526,7.98,-0.5812,0.58,1.68,-0.1631,0.0586,-0.4426,0.4194,-0.7596,1.3974,7.48,10196596.0,True,True
585,BALY,Consumer Cyclical,Resorts & Casinos,USA,543790000.0,-999,-999,-999,0.23,0.61,6.53,-999,0.7904,0.0124,0.6502,-0.1428,4.81,-0.3989,0.64,5.42,-0.1643,-0.0311,-0.441,0.6374,-0.843,0.651,11.92,760257.0,True,True
587,GOCO,Financial,Insurance Brokers,USA,122050000.0,-999,-999,-999,0.23,0.54,2.76,-999,0.4542,0.0043,0.5519,-0.0809,13.08,-0.4465,-999,2.6,-0.2391,-0.0548,-0.4407,0.8128,-0.9675,1.5897,12.78,100275.0,True,True
