No.,Ticker,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,Cash/sh,EPS past 5Y,Sales past 5Y,Insider Trans,Inst Own,Inst Trans,Short Ratio,ROE,Quick R,Debt/Eq,Profit M,SMA50,52W High,52W Low,All-Time High,All-Time Low,Price,Insider 6M Sum,Insider 6M Sum > 100K,Any profit over 5 years,Fundamental Score
796,CFBK,Financial,Banks - Regional,USA,142940000.0,8.13,-999.0,-999.0,1.37,0.76,-999.0,0.7032,0.3948,0.0022,0.2419,-0.0136,1.08,0.1214,-999.0,0.86,0.1669,0.1771,-0.0095,0.4838,-0.956,2.6017,21.79,100002.0,True,True,6
50,ACR,Real Estate,REIT - Mortgage,USA,85620000.0,-999.0,4.58,-999.0,0.4,0.2,11.86,-999.0,0.3434,0.0509,0.3611,-0.0473,0.48,0.0301,-999.0,4.07,-0.0288,0.1025,-0.0127,0.5287,-0.9553,2.5509,10.12,724526.0,True,True,3
2860,NRP,Energy,Thermal Coal,USA,1240000000.0,8.43,-999.0,-999.0,4.15,2.5,1.46,0.276,0.2113,0.0007,0.2865,0.0157,6.92,0.4888,1.14,0.38,0.6366,0.1036,-0.0387,1.1945,-0.7571,19.8859,98.05,222795.0,True,True,6
3903,TGI,Industrials,Aerospace & Defense,USA,1270000000.0,-999.0,19.93,-999.0,0.9,-999.0,2.21,-999.0,-0.1355,0.0074,0.9202,-0.0588,3.29,-999.0,1.47,-999.0,-0.0186,0.1876,-0.0446,1.3571,-0.807,4.4636,16.5,285578.0,True,True,4
3051,PAGP,Energy,Oil & Gas Midstream,USA,3150000000.0,19.71,10.12,-999.0,0.06,2.06,1.33,-999.0,0.21,0.0118,0.905,0.0144,5.49,0.125,0.84,5.41,0.0039,-0.001,-0.0604,0.3588,-0.8131,4.2697,16.02,1006694.0,True,True,2
3709,SPB,Consumer Defensive,Household & Personal Products,USA,2430000000.0,1.76,17.81,0.1,0.83,1.11,60.22,0.1707,-0.0384,0.0711,1.1454,-0.0608,4.11,-0.1237,3.22,0.67,0.6181,0.0347,-0.0751,0.391,-0.8992,9.4356,78.85,4015177.0,True,True,5
3670,SMLR,Healthcare,Medical Devices,USA,310870000.0,18.19,10.47,-999.0,4.65,4.3,8.16,-999.0,0.2864,0.0513,0.5501,0.4029,3.42,0.318,7.45,0.0,0.2926,0.0407,-0.1038,1.3666,-0.7047,39.3874,45.25,2147273.0,True,True,5
1708,GEL,Energy,Oil & Gas Midstream,USA,1400000000.0,25.62,10.27,0.58,0.45,2.52,0.33,-999.0,0.0161,0.0011,0.6551,-0.0514,5.09,0.1039,0.94,2.59,0.0175,-0.0439,-0.108,0.4161,-0.8016,5.6335,11.4,203784.0,True,True,2
863,CLF,Basic Materials,Steel,USA,10270000000.0,26.31,14.16,-999.0,0.47,1.28,0.39,-0.2679,0.9332,0.0026,0.6729,0.0634,3.01,0.05,0.62,0.39,0.0181,0.0909,-0.1091,0.4945,-0.8322,41.3193,20.34,506095.0,True,True,3
76,ADV,Communication Services,Advertising Agencies,USA,1260000000.0,-999.0,7.9,-999.0,0.3,1.17,0.57,-999.0,0.0886,0.0018,0.1851,-0.0731,8.3,-0.8332,1.76,1.78,-0.3542,0.0967,-0.1185,2.4248,-0.722,2.4248,3.87,767522.0,True,True,3
