No.,Ticker,Index,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,Cash/sh,Dividend,Payout Ratio,EPS next Q,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Sales Q/Q,EPS Q/Q,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Profit M,Perf Week,Perf Month,Perf Quart,Perf Year,Beta,SMA50,52W High,52W Low,All-Time High,All-Time Low,Earnings,Price,Insider 6M Sum,Insider 6M Sum > 100K,Any profit over 5 years,Fundamental Score
2829,NNBR,-999,Industrials,Conglomerates,USA,242910000.0,-999.0,-999.0,-999.0,0.49,1.69,11.15,17.3,0.46,-999.0,-999.0,-0.08,-0.4737,-0.0714,0.1475,0.15,-0.0825,-0.0224,-0.5814,0.0809,0.0132,0.5586,-0.0604,0.0325,-0.1754,-0.1315,2.18,1.38,0.89,0.94,0.0436,-0.1094,0.071,0.3087,1.1198,1.3318,3.05,0.2806,-0.0039,4.3051,-0.8441,5.1807,Nov 06/a,5.13,118650.0,True,False,4
3061,PAGP,-999,Energy,Oil & Gas Midstream,USA,3320000000.0,15.35,10.02,-999.0,0.07,2.17,12.65,2.21,1.33,0.075,0.7663,0.47,0.6109,0.0358,0.0335,0.0,0.1384,-0.0199,4.5556,0.0271,0.0118,0.8424,0.0144,0.0531,0.2982,0.0432,0.98,0.84,4.9,4.9,0.0361,0.0081,0.0413,0.0293,0.0583,0.2321,1.51,0.0493,-0.01,0.4317,-0.8031,4.5526,Feb 09/a,16.88,1006694.0,True,True,3
793,CFBK,-999,Financial,Banks - Regional,USA,142350000.0,8.31,-999.0,-999.0,1.27,0.91,-999.0,8.19,-999.0,0.0111,0.0913,-999.0,-999.0,-999.0,0.2139,-999.0,0.4356,0.3618,-0.0966,0.4196,0.0022,0.2421,-0.0133,0.001,0.115,0.0593,1.11,-999.0,0.84,0.84,-999.0,0.1509,-0.0028,0.0679,0.4248,-0.0368,0.53,0.1158,-0.0136,0.4777,-0.9562,2.5868,Feb 07/b,21.7,100002.0,True,True,6
1045,CTRN,-999,Consumer Cyclical,Apparel Retail,USA,251760000.0,-999.0,-999.0,-999.0,0.34,1.65,4.21,-999.0,6.99,-999.0,0.0,0.8,-1.8947,0.6993,0.474,0.25,0.0214,-0.0666,-1.1553,0.0453,1.1063,0.9689,-0.0966,0.122,-0.0571,-0.0254,1.31,0.48,1.29,1.59,0.3567,-0.012,0.0044,0.0578,0.1792,-0.0097,2.38,0.0872,-0.0157,1.0753,-0.7355,3.4,Nov 28/b,29.48,10042378.0,True,True,3
52,ACR,-999,Real Estate,REIT - Mortgage,USA,85190000.0,-999.0,4.56,-999.0,0.4,0.19,0.85,1.72,11.86,-999.0,-999.0,0.47,0.6795,0.1247,-999.0,0.05,0.3434,0.3152,3.1032,0.11,0.0391,0.3059,-0.0473,0.0024,0.0301,-0.0031,-999.0,-999.0,3.5,4.07,0.9632,-0.0288,0.0244,0.0349,0.3044,0.044,1.94,0.0448,-0.0176,0.5211,-0.9555,2.5333,Feb 28/a,10.07,724526.0,True,True,3
2788,NGL,-999,Energy,Oil & Gas Midstream,USA,771210000.0,-999.0,8.95,-999.0,0.1,1.4,1042.17,2.45,0.01,-999.0,-999.0,0.29,2.0714,0.0833,0.1237,0.03,-0.0619,-0.126,-0.602,0.1554,0.0049,0.3323,-0.0441,0.0246,0.042,-0.0187,1.23,1.05,1.9,1.92,0.1032,-0.0107,-0.0017,0.1412,0.455,1.1011,1.64,0.0901,-0.0284,1.5526,-0.8742,4.82,Feb 08/a,5.82,581566.0,True,True,3
328,ASPN,RUT,Industrials,Building Products & Equipment,USA,1340000000.0,-999.0,25.58,-999.0,5.61,3.01,9.57,-999.0,1.83,-999.0,-999.0,-0.12,0.7046,4.5211,0.1458,-999.0,0.3077,0.4128,0.9621,0.0263,0.0315,0.9859,0.0058,0.0611,-0.0979,-0.0733,3.41,2.91,0.28,0.28,0.2389,-0.1919,0.4633,0.4346,0.6966,0.527,2.01,0.3217,-0.0309,2.2977,-0.7339,9.975,Feb 12/a,17.56,378338.0,True,False,5
4355,WT,RUT,Financial,Asset Management,USA,1100000000.0,14.48,13.35,7.17,3.23,2.26,6.51,25.58,1.12,0.0164,0.1,0.1,0.031,0.1186,0.068,0.0202,0.057,0.249,-0.866,0.008,0.204,0.762,-0.005,0.0818,0.225,0.113,2.8,2.8,0.58,0.58,-999.0,0.256,0.0325,0.0027,0.0912,0.1851,1.45,0.0599,-0.0325,0.3201,-0.7182,-999.0,Feb 02/b,7.3,2186768.0,True,True,6
3727,SPB,-999,Consumer Defensive,Household & Personal Products,USA,2530000000.0,1.83,17.2,0.1,0.87,1.12,1.82,-999.0,46.1,0.0202,0.0368,0.68,1.6233,0.2126,0.1707,0.182,-0.0384,-0.0296,2.1108,0.0278,0.0725,1.045,-0.0619,0.0857,-0.0997,0.4876,3.36,2.75,0.64,0.65,0.3354,0.6361,-0.0253,0.0706,0.0757,0.2703,1.2,0.0552,-0.0502,0.4764,-0.8887,10.0762,Feb 08/b,83.69,3223127.0,True,True,5
3821,STXS,-999,Healthcare,Medical Instruments & Supplies,USA,226460000.0,-999.0,-999.0,-999.0,7.67,12.1,10.01,-999.0,0.28,-999.0,-999.0,-0.07,-0.0692,0.0791,0.042,-999.0,0.0063,0.0185,-0.0014,0.1566,0.0141,0.4673,-0.0202,0.0096,-0.6879,-0.7183,2.73,2.2,0.21,0.23,0.5569,-0.7174,0.0811,0.5217,0.958,0.1382,1.31,0.3989,-0.0556,1.1053,-0.9818,4.9574,Nov 09/b,2.8,242163.0,True,False,5
