No.,Ticker,Index,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,Cash/sh,Dividend,Payout Ratio,EPS next Q,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Sales Q/Q,EPS Q/Q,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Profit M,Perf Week,Perf Month,Perf Quart,Perf Year,Beta,SMA50,52W High,52W Low,All-Time High,All-Time Low,Earnings,Price,Insider 6M Sum,Insider 6M Sum > 100K,Any profit over 5 years,NCAV,Fundamental Score
114,AGL,-999,Healthcare,Medical Care Facilities,USA,1950000000.0,-999.0,-999.0,-999.0,0.43,2.92,3.93,-999.0,1.21,-999.0,-999.0,-0.01,0.3466,0.5231,0.0765,-999.0,0.5371,0.531,-2.2839,0.2612,0.0002,0.8577,0.0183,0.1552,-0.234,-0.305,1.51,1.51,0.07,0.08,0.011,-0.0472,-0.2213,-0.1782,-0.6068,-0.8121,0.55,-0.205,-0.8362,0.0698,-0.894,0.0698,Feb 27/a,4.75,250206.0,True,False,0.977,5
2843,NOVA,RUT,Technology,Solar,USA,585450000.0,-999.0,-999.0,-999.0,0.81,0.38,2.13,-999.0,2.25,-999.0,-999.0,-0.8,0.2733,0.1178,-0.1744,-0.14,0.5141,-0.0072,-7.4266,0.1351,0.0015,1.1036,0.0716,0.341,-0.2985,-0.0488,0.85,0.72,4.61,4.93,0.3268,-0.58,-0.2202,-0.2401,-0.648,-0.6918,2.1,-0.3872,-0.8054,0.2579,-0.9172,0.2579,Feb 21/a,4.78,333414.0,True,False,-67.566,3
2934,NYCB,-999,Financial,Banks - Regional,USA,2490000000.0,-999.0,10.41,-999.0,0.3,0.29,-999.0,15.09,-999.0,0.0192,-999.0,-0.22,-1.0454,3.0391,-999.0,-0.003,0.5678,0.7785,-13.4262,0.0795,0.0036,0.6314,0.0018,0.0917,-0.0101,-0.0053,0.03,-999.0,1.71,2.6,-999.0,-0.0145,-0.0311,-0.0983,-0.6947,-0.6451,0.91,-0.3386,-0.7806,0.8353,-0.9123,1.8079,Jan 31/b,3.12,865298.0,True,True,,3
1052,CTSO,-999,Healthcare,Medical Devices,USA,52730000.0,-999.0,-999.0,-999.0,1.45,2.35,3.73,-999.0,0.27,-999.0,-999.0,-0.12,0.4219,0.4324,-0.0264,-999.0,0.1313,-0.0769,-5.8182,0.1182,0.0386,0.3596,-0.0291,0.0363,-0.9721,-0.7363,1.77,1.51,0.66,0.79,0.616,-0.7843,0.0632,0.0306,0.0466,-0.7012,0.58,0.041,-0.7646,0.2024,-0.9898,0.3467,Mar 14/a,1.01,305002.0,True,False,-0.079,4
3862,TBRG,RUT,Healthcare,Health Information Services,USA,129060000.0,-999.0,-999.0,-999.0,0.38,0.69,33.52,181.77,0.26,-999.0,-999.0,-0.3,0.836,0.764,-999.0,-0.0955,0.0386,0.6706,-17.8358,0.0597,1.5973,1.0511,-0.0023,0.068,-0.2139,-0.1162,2.31,2.3,1.06,1.09,0.4103,-0.1333,-0.038,0.1595,-0.1329,-0.7055,0.64,-0.0675,-0.7135,0.1748,-0.8856,0.1748,Feb 29/a,8.87,5080045.0,True,True,-9.305,4
1432,EVC,RUT,Communication Services,Advertising Agencies,USA,171880000.0,-999.0,-999.0,-999.0,0.16,0.77,1.44,3.73,1.34,0.1042,-999.0,-0.09,1.2778,-999.0,-999.0,-999.0,0.3602,0.0801,-9.8115,0.332,0.0069,0.5555,-0.0173,0.036,-0.0626,-0.033,1.42,1.42,1.1,1.18,0.1355,-0.0139,0.1707,0.0726,-0.5188,-0.6695,1.06,-0.3519,-0.7042,0.4436,-0.8932,17.2947,Mar 05/a,1.92,559049.0,True,True,-2.667,4
1928,HNRG,RUT,Energy,Thermal Coal,USA,177240000.0,4.27,19.54,-999.0,0.28,0.64,24.89,-999.0,0.2,-999.0,0.0,-0.18,-1.056,4.7143,0.3825,-999.0,0.2174,-0.2151,-1.3388,0.3261,0.0041,0.4383,-0.0408,0.0346,0.1852,0.1245,0.58,0.19,0.34,0.45,0.1374,0.0711,-0.0469,-0.3981,-0.4624,-0.4362,0.45,-0.2887,-0.6783,0.1289,-0.6783,7.7762,Mar 13/a,5.08,240136.0,True,True,-6.591,5
952,COOK,RUT,Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA,296820000.0,-999.0,26.64,-999.0,0.49,1.0,9.92,6.73,0.23,-999.0,-999.0,0.03,0.9615,19.8506,-0.2831,0.1286,0.1751,0.1835,0.2343,0.5652,0.0055,0.3733,0.0234,0.0351,-0.2696,-0.1176,1.62,0.9,1.46,1.57,0.3103,-0.1393,-0.083,0.0404,-0.0333,-0.4082,1.05,0.0276,-0.6537,0.1769,-0.9288,0.1769,Mar 07/a,2.32,933006.0,True,True,-2.759,2
218,AMRC,RUT,Industrials,Engineering & Construction,USA,1180000000.0,19.18,11.17,0.71,0.86,1.3,8.31,-999.0,2.71,-999.0,0.0,-0.1,0.0847,0.474,0.0763,0.272,0.1448,0.3305,0.8888,0.3911,0.0044,0.6183,-0.0038,0.1507,0.0723,0.0295,1.19,1.17,1.34,1.72,0.1745,0.0454,-0.0676,0.1468,-0.2289,-0.5098,1.58,0.0487,-0.6439,0.2821,-0.7791,4.7545,Feb 28/a,22.5,2197119.0,True,True,-47.037,4
757,CCRD,RUT,Technology,Software - Application,USA,89310000.0,26.92,17.93,-999.0,1.59,1.69,2.78,7.73,3.87,-999.0,0.0,0.02,-0.7692,4.0,-0.1051,-999.0,0.2692,-0.2318,-0.5043,0.2612,0.0051,0.4389,-0.0176,0.0946,0.0644,0.0631,4.66,4.66,0.02,0.02,0.347,0.0606,-0.0262,-0.0827,-0.144,-0.6253,0.38,-0.079,-0.6338,0.0738,-0.8087,20.7796,Feb 14/b,10.76,118118.0,True,True,4.022,4
4312,WOLF,-999,Technology,Semiconductors,USA,3310000000.0,-999.0,-999.0,-999.0,3.8,2.88,1.26,-999.0,20.95,-999.0,-999.0,-0.64,-2.3462,0.2425,0.0117,-999.0,0.0751,-0.0356,-0.5759,0.0205,0.0079,1.0979,-0.0223,0.1594,-0.3157,-0.117,5.13,4.54,4.6,4.6,0.2061,-0.8654,-0.1081,-0.0505,-0.3353,-0.5578,1.65,-0.061,-0.6264,0.1177,-0.8151,39.0914,Jan 31/a,26.31,620283.0,True,False,-21.414,4
3420,RILY,RUT,Financial,Financial Conglomerates,USA,714960000.0,-999.0,-999.0,-999.0,0.49,1.73,0.53,-999.0,44.19,0.1497,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.4044,0.0461,-0.1119,0.4688,0.0029,0.5048,-0.0418,0.7628,-0.2063,-0.0153,-999.0,-999.0,16.99,17.02,0.5688,-0.0588,0.1044,-0.0106,0.0686,-0.1584,1.52,0.1886,-0.6149,0.6169,-0.8488,148.6627,Feb 29/a,23.38,819908.0,True,True,-148.137,2
1762,GLT,RUT,Basic Materials,Paper & Paper Products,USA,80820000.0,-999.0,-999.0,-999.0,0.06,0.31,1.48,-999.0,1.21,-999.0,-999.0,-999.0,-999.0,-999.0,0.1544,0.002,0.1093,-0.1431,0.749,0.0423,0.2533,0.8106,-0.0401,0.0793,-0.2717,-0.0712,2.16,1.1,3.32,3.37,0.0923,-0.0571,-0.105,-0.1139,0.0529,-0.4458,1.68,-0.0663,-0.6096,0.432,-0.9441,0.432,Feb 22/b,1.79,658818.0,True,True,-15.49,5
