No.,Ticker,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,Cash/sh,EPS past 5Y,Sales past 5Y,Insider Trans,Inst Own,Inst Trans,Short Ratio,ROE,Quick R,Debt/Eq,Profit M,SMA50,52W High,52W Low,All-Time High,All-Time Low,Price,Insider 6M Sum,Insider 6M Sum > 100K,Any profit over 5 years,Fundamental Score
1055,CUTR,Healthcare,Medical Devices,USA,53040000.0,-999.0,-999.0,-999.0,0.23,-999.0,9.0,-999.0,0.1467,0.0211,1.0974,-0.0073,3.17,-44.4726,2.81,-999.0,-0.3329,-0.0633,-0.9263,0.9275,-0.9642,0.9275,2.66,346300.0,True,True,5
655,BW,Industrials,Specialty Industrial Machinery,USA,109480000.0,-999.0,49.0,-999.0,0.1,-999.0,0.61,0.6496,-0.0059,0.0959,0.779,0.0589,1.01,-6.5727,1.09,-999.0,-0.1365,-0.1308,-0.8206,0.2826,-0.9949,0.5909,1.23,235454.0,True,True,5
3634,SKIN,Consumer Defensive,Household & Personal Products,USA,354430000.0,-999.0,151.52,-999.0,0.89,3.98,4.26,-999.0,0.4351,0.0049,0.8029,-0.0093,2.16,-0.5113,5.27,8.36,-0.2227,-0.0701,-0.8058,1.0,-0.9105,1.0,2.7,1348188.0,True,True,3
882,CMBM,Technology,Communication Equipment,USA,123410000.0,-999.0,-999.0,-999.0,0.47,0.95,0.99,0.1589,0.0594,0.0023,0.3379,0.0021,1.34,-0.1119,1.36,0.23,-0.055,-0.0824,-0.805,0.2635,-0.9328,0.2635,4.46,200567.0,True,True,6
4005,TSE,Basic Materials,Specialty Chemicals,USA,204860000.0,-999.0,-999.0,-999.0,0.05,-999.0,7.91,-999.0,0.0828,0.1289,0.8595,-0.059,1.96,-2.3662,1.24,-999.0,-0.2102,-0.1333,-0.8014,0.1171,-0.9318,0.1171,5.82,763480.0,True,True,5
3574,SEDG,Technology,Solar,Israel,4380000000.0,21.14,341.49,-999.0,1.23,1.76,18.1,-0.0272,0.3686,0.0422,0.889,0.0173,2.54,0.0958,2.49,0.29,0.0613,-0.0382,-0.7768,0.2202,-0.802,5.8,77.18,1453082.0,True,True,4
3867,TCS,Consumer Cyclical,Specialty Retail,USA,65430000.0,-999.0,-999.0,-999.0,0.07,0.28,0.31,-999.0,0.0421,0.0036,0.3972,-0.0158,1.63,-0.6856,0.37,2.5,-0.2564,-0.3407,-0.747,0.3316,-0.9731,0.3316,1.26,131172.0,True,True,3
3127,PETS,Healthcare,Pharmaceutical Retailers,USA,127110000.0,-999.0,109.27,-999.0,0.47,1.12,2.53,-0.6368,-0.0101,0.0658,0.574,-0.0886,9.12,-0.0483,1.64,0.02,-0.0225,-0.1488,-0.7047,0.0927,-0.896,68.8,6.01,451683.0,True,True,3
3413,RILY,Financial,Financial Conglomerates,USA,562370000.0,-999.0,-999.0,-999.0,0.39,1.36,138.45,-999.0,0.3389,0.0047,0.4887,-0.0418,7.11,-0.1461,-999.0,5.94,-0.0521,-0.1403,-0.6971,0.1045,-0.8811,116.7201,18.39,2002686.0,True,True,2
2980,OLPX,Consumer Cyclical,Specialty Retail,USA,1410000000.0,18.1,12.47,-999.0,2.95,1.67,0.66,-999.0,0.7338,0.0001,0.2015,-0.0155,4.01,0.1024,8.68,0.78,0.17,-0.0891,-0.69,0.5985,-0.9293,0.5985,2.15,150179.0,True,True,5
2931,NYCB,Financial,Banks - Regional,USA,3190000000.0,1.32,4.89,-999.0,0.39,0.31,-999.0,0.3289,0.5667,0.0118,0.7146,0.002,1.3,0.239,-999.0,1.97,0.2815,-0.5331,-0.6893,0.2274,-0.8758,2.9766,4.42,398700.0,True,True,5
462,BCOV,Technology,Software - Application,USA,101500000.0,-999.0,24.58,-999.0,0.51,1.1,0.38,0.1768,0.0645,0.0543,0.7704,0.0016,4.02,-0.2635,0.64,0.24,-0.1287,-0.0362,-0.684,0.1119,-0.9084,0.1119,2.34,411402.0,True,True,4
334,ASYS,Technology,Semiconductor Equipment & Materials,USA,56190000.0,-999.0,-999.0,-999.0,0.5,0.64,0.93,-999.0,0.047,0.049,0.628,-0.0081,0.6,-0.1348,1.56,0.25,-0.111,-0.179,-0.6694,0.1022,-0.8714,3.224,3.96,578958.0,True,True,5
3613,SHYF,Industrials,Farm & Heavy Construction Machinery,USA,380280000.0,13.59,19.27,0.91,0.39,1.49,0.29,0.1749,0.1806,0.0032,0.8351,0.0129,3.79,0.1138,1.05,0.52,0.0296,-0.043,-0.6636,0.0674,-0.7965,65.1105,11.09,125473.0,True,True,5
4067,UEIC,Technology,Consumer Electronics,USA,110980000.0,-999.0,25.97,-999.0,0.25,0.61,4.64,-999.0,-0.0489,0.125,0.69,-0.0191,1.82,-0.4365,1.04,0.5,-0.22,0.0059,-0.6605,0.2208,-0.8934,3.5707,8.57,2048861.0,True,True,4
210,AMRC,Industrials,Engineering & Construction,USA,1160000000.0,25.31,12.37,0.93,0.91,1.33,3.15,0.1676,0.2426,0.0032,0.609,-0.0038,7.98,0.0559,1.13,1.71,0.0368,-0.1969,-0.6499,0.2022,-0.7828,4.6573,22.12,1258488.0,True,True,4
924,CNTY,Consumer Cyclical,Resorts & Casinos,USA,105650000.0,-999.0,-999.0,-999.0,0.21,0.82,6.23,0.0109,0.2678,0.0097,0.6277,-0.0111,6.83,-0.1565,2.39,7.89,-0.042,-0.1708,-0.6499,0.141,-0.7883,8.28,3.48,236815.0,True,True,5
2447,LUMN,Communication Services,Telecom Services,USA,1490000000.0,-999.0,-999.0,-999.0,0.1,0.67,2.21,-0.4515,-0.0897,0.0872,0.6762,0.0065,8.87,-1.8975,1.07,48.2,-0.7074,-0.0373,-0.6434,0.8972,-0.9698,0.8972,1.48,1617366.0,True,True,3
1209,DOUG,Real Estate,Real Estate Services,USA,161420000.0,-999.0,-999.0,-999.0,0.17,0.65,1.48,-999.0,0.1573,0.0093,0.5254,-0.0028,0.44,-0.174,-999.0,0.55,-0.0491,-0.2394,-0.6324,0.1594,-0.849,0.1594,1.82,315273.0,True,True,4
3731,SPWH,Consumer Cyclical,Specialty Retail,USA,138600000.0,-999.0,-999.0,-999.0,0.11,0.51,0.08,0.1883,0.1621,0.0959,0.947,-0.0691,4.53,-0.0332,0.09,2.01,-0.0071,-0.1361,-0.6275,0.2433,-0.7993,0.2433,3.7,571111.0,True,True,4
1774,GNSS,Technology,Scientific & Technical Instruments,USA,68230000.0,-999.0,33.21,-999.0,1.46,1.71,0.25,-0.3399,0.135,0.2791,0.4243,-0.0143,2.28,-0.4369,1.63,0.16,-0.3942,-0.0922,-0.6192,0.0265,-0.8955,4.2261,1.55,2967750.0,True,True,4
2493,MATV,Basic Materials,Specialty Chemicals,USA,630890000.0,-999.0,9.02,-999.0,0.25,0.94,1.56,-999.0,0.2195,0.0067,0.9299,0.8559,1.84,-0.5259,1.36,2.67,-0.1854,-0.1273,-0.5985,0.0798,-0.8168,1.0243,11.64,143860.0,True,True,4
327,ASPS,Real Estate,Real Estate Services,Luxembourg,73930000.0,-999.0,-999.0,-999.0,0.48,-999.0,1.38,-999.0,-0.3213,0.0059,0.2365,-0.0305,7.73,-999.0,-999.0,-999.0,-0.3538,-0.1658,-0.5951,0.1698,-0.9837,0.1698,2.79,300002.0,True,True,3
