No.,Ticker,Index,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,Cash/sh,Dividend,Payout Ratio,EPS next Q,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Sales Q/Q,EPS Q/Q,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Profit M,Perf Week,Perf Month,Perf Quart,Perf Year,Beta,SMA50,52W High,52W Low,All-Time High,All-Time Low,Earnings,Price,Insider 6M Sum,Insider 6M Sum > 100K,Any profit over 5 years,Fundamental Score
4027,TSE,RUT,Basic Materials,Specialty Chemicals,USA,151270000.0,-999.0,-999.0,-999.0,0.04,-999.0,0.58,2.73,7.4,0.0093,-999.0,-2.1,0.2647,0.4168,-999.0,0.3029,0.0143,-0.1412,0.2787,0.0246,0.1281,0.8288,-0.059,0.0235,-9.2095,-0.3402,1.78,1.17,-999.0,-999.0,0.0393,-0.1908,-0.025,-0.3827,-0.3578,-0.8194,1.54,-0.3213,-0.8285,0.0166,-0.9497,0.0166,Feb 12/a,4.29,763480.0,True,True,5
659,BW,RUT,Industrials,Specialty Industrial Machinery,USA,109930000.0,-999.0,49.2,-999.0,0.1,-999.0,2.0,-999.0,0.61,-999.0,-999.0,-0.06,-0.0349,1.0562,0.6496,0.0699,-0.0059,0.1142,-4.5637,0.0393,0.0975,0.8175,0.0589,0.0388,-6.5727,-0.5094,1.38,1.09,-999.0,-999.0,0.2103,-0.1365,0.0696,-0.1338,-0.2454,-0.809,1.36,-0.0565,-0.8148,0.2878,-0.9949,0.5974,Nov 09/a,1.23,289493.0,True,True,5
885,CMBM,RUT,Technology,Communication Equipment,USA,116770000.0,-999.0,9.46,-999.0,0.53,1.24,6.24,-999.0,0.68,-999.0,0.0,-0.23,0.7742,2.796,-1.0953,0.2,0.0023,-0.5242,-4.9797,0.5649,0.0016,0.3632,0.0021,0.0303,-0.5294,-0.5156,1.73,1.02,0.3,0.33,0.2952,-0.2887,0.042,-0.0601,-0.0538,-0.7932,0.94,-0.1145,-0.7987,0.1955,-0.9364,0.1955,Feb 15/a,4.22,101387.0,True,True,4
3142,PETS,RUT,Healthcare,Pharmaceutical Retailers,USA,106810000.0,-999.0,91.82,-999.0,0.39,0.94,2.0,6.13,2.53,0.1188,104.3478,0.02,-5.5,2.2222,-0.6368,-0.0002,-0.0101,0.0857,-1.0268,0.0473,0.0658,0.7333,-0.0906,0.2073,-0.0483,-0.053,2.1,1.64,0.01,0.02,0.2602,-0.0225,-0.0156,-0.2463,-0.3015,-0.7344,0.7,-0.2268,-0.7315,0.007,-0.9126,57.6506,Feb 08/a,5.05,451683.0,True,True,4
2633,MODV,RUT,Healthcare,Medical Care Facilities,USA,406260000.0,-999.0,4.99,-999.0,0.15,2.6,146.14,-999.0,0.2,-999.0,-999.0,0.19,-0.228,0.3268,-0.4924,0.0699,0.1617,0.0748,0.2474,0.0197,3.1546,1.0227,-0.0513,0.0625,-0.8006,-0.1742,0.77,0.77,6.51,7.3,0.1246,-0.0743,-0.3662,-0.3298,-0.2609,-0.6973,0.47,-0.3053,-0.7132,0.1921,-0.865,40.9871,Feb 22/a,28.61,26782505.0,True,True,2
928,CNTY,RUT,Consumer Cyclical,Resorts & Casinos,USA,87740000.0,-999.0,-999.0,-999.0,0.17,0.68,0.46,-999.0,6.23,-999.0,0.0,-0.36,-4.7366,0.2879,0.0109,0.25,0.2678,0.432,-5.9808,0.1415,0.0097,0.633,-0.0111,0.0391,-0.1565,-0.0188,2.44,2.39,7.82,7.89,0.3764,-0.042,0.0664,-0.2293,-0.3372,-0.6821,2.62,-0.2467,-0.6986,0.1378,-0.8242,6.7067,Nov 09/b,2.89,236815.0,True,True,5
3428,RILY,RUT,Financial,Financial Conglomerates,USA,582550000.0,-999.0,-999.0,-999.0,0.4,1.41,0.14,-999.0,138.45,0.21,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.3389,0.0787,-2.655,0.4595,0.0029,0.504,-0.0418,0.6852,-0.1461,-0.0278,-999.0,-999.0,5.6,5.94,0.5432,-0.0521,0.2533,-0.2141,-0.0063,-0.5117,1.55,-0.062,-0.6862,0.3174,-0.8768,120.945,Feb 29/a,19.05,819908.0,True,True,2
2943,NYCB,-999,Financial,Banks - Regional,USA,3280000000.0,1.36,5.03,-999.0,0.4,0.32,-999.0,-999.0,-999.0,0.0441,0.2078,0.13,-0.7977,0.3783,0.3289,-0.003,0.5667,0.8,-2.1996,0.0193,0.0145,0.6973,0.002,0.0715,0.239,0.0721,0.57,-999.0,1.97,1.97,-999.0,0.2815,0.0089,-0.5651,-0.5065,-0.491,0.95,-0.4402,-0.6807,0.2611,-0.8724,3.0859,Jan 31/b,4.54,765407.0,True,True,5
214,AMRC,RUT,Industrials,Engineering & Construction,USA,1060000000.0,23.3,8.73,0.86,0.84,1.23,6.46,-999.0,3.15,-999.0,0.0,0.17,0.3635,0.3582,0.1676,0.272,0.2426,-0.2405,-0.2246,0.3911,0.0033,0.6163,-0.0038,0.1266,0.0559,0.0241,1.15,1.13,1.22,1.71,0.1812,0.0368,-0.0882,-0.1058,-0.2593,-0.6068,1.54,-0.1901,-0.6776,0.1071,-0.8,4.2097,Feb 28/a,20.37,1916738.0,True,True,4
1133,DDD,RUT,Technology,Computer Hardware,USA,536390000.0,-999.0,63.48,-999.0,1.1,1.28,1.62,-999.0,2.49,-999.0,-999.0,-0.07,0.782,2.1176,-0.4773,0.3,-0.0626,-0.1347,-10.5346,0.032,0.024,0.6436,-0.0184,0.0746,-0.6372,-0.4662,4.3,3.24,0.9,0.92,0.4103,-0.759,-0.2118,-0.2224,-0.2429,-0.6012,1.74,-0.253,-0.6519,0.1486,-0.9587,7.04,Feb 27/a,4.02,493400.0,True,True,3
3753,SPWH,RUT,Consumer Cyclical,Specialty Retail,USA,135050000.0,-999.0,-999.0,-999.0,0.1,0.5,46.25,-999.0,0.08,-999.0,0.0,-0.31,-1.7302,0.8269,0.1883,0.2072,0.1621,-0.0532,-1.1069,0.0417,0.0959,0.8865,-0.0736,0.0714,-0.0332,-0.0161,1.19,0.09,1.1,2.01,0.2604,-0.0071,-0.0599,-0.1174,-0.2935,-0.6046,0.77,-0.1118,-0.6106,0.2114,-0.8044,0.2114,Dec 06/a,3.61,571111.0,True,True,4
