No.,Ticker,Index,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,Cash/sh,Dividend,Payout Ratio,EPS next Q,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Sales Q/Q,EPS Q/Q,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Profit M,Perf Week,Perf Month,Perf Quart,Perf Year,Beta,SMA50,52W High,52W Low,All-Time High,All-Time Low,Earnings,Price,Insider 6M Sum,Insider 6M Sum > 100K,Any profit over 5 years,NCAV,Fundamental Score
3054,PAGP,-999,Energy,Oil & Gas Midstream,USA,3440000000.0,17.17,10.45,-999.0,0.07,2.21,7.58,1.59,2.3,0.0729,1.0538,0.45,0.4927,0.1063,-0.0303,0.0,0.1384,-0.0228,3.2111,0.0271,0.0117,0.8416,0.0143,0.0538,0.1289,0.0217,0.98,0.87,4.9,5.23,0.0357,0.0041,0.0,0.0641,0.134,0.4229,1.51,0.0446,-0.0111,0.4784,-0.7966,4.7336,Feb 09/a,17.43,1006694.0,True,True,-44.181,2
79,ADV,RUT,Communication Services,Advertising Agencies,USA,1360000000.0,-999.0,7.7,-999.0,0.32,1.22,9.53,7.07,0.45,-999.0,-999.0,0.08,4.405,0.1694,-999.0,-0.051,0.0772,-0.0209,1.0115,0.928,0.001,0.1928,-0.0744,0.2862,-0.0564,-0.0211,1.87,1.81,1.69,1.72,0.0814,-0.015,0.1039,0.1039,0.3158,1.2727,1.65,0.0967,-0.0319,2.7611,-0.6947,2.7611,Feb 29/b,4.25,659305.0,True,True,-5.191,3
3129,PFBC,RUT,Financial,Banks - Regional,USA,1070000000.0,6.84,8.19,0.68,2.22,1.4,-999.0,6.21,-999.0,0.0391,0.2234,2.38,-0.1072,-0.0652,0.1781,0.1,0.2114,0.2795,-0.0407,0.0813,0.0,0.717,-0.089,0.0769,0.2264,0.1748,0.33,-999.0,0.23,0.24,-999.0,0.3114,-0.0473,0.0266,0.019,0.2072,1.03,-0.0001,-0.0742,0.6947,-0.6793,11.1847,Jan 24/a,71.89,391997.0,True,True,False,4
3693,SNV,-999,Financial,Banks - Regional,USA,5540000000.0,10.94,8.54,-999.0,1.63,1.21,-999.0,6.12,-999.0,0.0399,0.4393,1.0,-0.0191,0.0964,-0.0004,-0.014,0.1442,0.1065,-0.6936,0.0076,0.3081,0.8447,0.0014,0.0529,0.1133,0.0731,0.24,-999.0,0.36,0.42,-999.0,0.1492,-0.0449,0.0473,0.0061,0.2917,1.42,0.0134,-0.0748,0.5516,-0.642,23.2851,Jan 17/a,37.86,5148314.0,True,True,False,4
1046,CTRN,-999,Consumer Cyclical,Apparel Retail,USA,259700000.0,-999.0,-999.0,-999.0,0.35,1.7,4.35,-999.0,6.99,-999.0,0.0,0.8,-1.8947,0.6993,0.474,0.25,0.0214,-0.0666,-1.1553,0.0453,1.7053,0.9917,-0.0966,0.1149,-0.0571,-0.0254,1.31,0.48,1.29,1.59,0.3567,-0.012,-0.0425,0.0515,0.2387,0.2571,2.39,0.0507,-0.0757,1.1408,-0.7271,3.5388,Mar 19/b,30.41,17150919.0,True,True,-17.687,3
1014,CRWS,-999,Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA,55300000.0,11.68,-999.0,2.34,0.64,1.08,81.32,8.65,0.07,0.0741,0.5732,-999.0,-999.0,-999.0,0.1323,0.05,0.0178,0.2524,0.2496,0.0791,0.0537,0.3658,0.0036,0.0017,0.0942,0.0635,4.13,1.74,0.45,0.52,0.253,0.0544,-0.0357,-0.0526,0.0547,-0.0609,0.81,0.0206,-0.0952,0.3139,-0.6833,36.712,Feb 14/b,5.4,200062.0,True,True,2.18,5
1662,GAIA,-999,Communication Services,Entertainment,USA,69030000.0,-999.0,-999.0,-999.0,0.87,0.73,6.15,-999.0,0.49,-999.0,-999.0,-0.02,-0.2,0.2222,0.3725,0.15,0.1862,0.0159,0.7566,0.4269,0.0106,0.3352,0.0571,0.0032,-0.0489,-0.0443,0.49,0.49,0.14,0.26,0.6544,-0.0551,0.0101,0.0067,0.049,0.1194,0.79,0.0274,-0.0991,0.4218,-0.9024,0.4634,Oct 30/a,3.0,277370.0,True,True,-1.646,5
657,BUSE,RUT,Financial,Banks - Regional,USA,1260000000.0,10.47,9.8,1.74,2.09,0.99,-999.0,7.67,-999.0,0.0426,0.4406,0.49,-0.0543,0.1293,0.0162,0.06,0.1072,0.1833,-0.2532,0.0453,0.0065,0.5687,-0.0315,0.0167,0.1014,0.0769,0.16,-999.0,0.25,0.41,-999.0,0.2029,-0.0371,0.0035,-0.0769,0.0956,0.83,-0.0297,-0.1159,0.4028,-0.6808,1.5553,Jan 23/a,22.81,354375.0,True,True,False,6
1702,GEG,-999,Financial,Asset Management,USA,67060000.0,7.22,-999.0,0.36,6.07,0.94,0.55,-999.0,3.88,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,0.2,1.56,0.5003,-1.0161,0.1323,0.2121,0.5958,0.0141,0.0002,-0.0534,0.0699,19.51,19.51,0.95,0.95,-0.1423,0.8326,0.0972,0.1459,0.0872,-0.0578,1.12,0.1071,-0.1203,0.3333,-0.9997,0.6183,Feb 13/a,2.12,1447761.0,True,True,1.981,6
3002,OPCH,RUT,Healthcare,Medical Care Facilities,USA,5420000000.0,21.1,23.74,1.3,1.26,3.83,15.75,16.44,1.98,-999.0,0.0,0.23,-0.2344,0.1605,-999.0,0.1628,0.1751,0.0946,0.2392,0.0108,0.0196,0.9884,0.0309,0.0249,0.1903,0.1042,1.77,1.33,0.8,0.82,0.2143,0.0621,-0.0346,-0.0493,-0.0136,0.0042,1.22,-0.0337,-0.1265,0.2885,-0.6599,11.488,Feb 22/b,31.22,1120518.0,True,True,-4.041,4
2864,NRP,-999,Energy,Thermal Coal,USA,1150000000.0,6.93,-999.0,-999.0,3.92,2.14,95.91,3.7,0.93,0.0338,0.2294,-999.0,-999.0,-999.0,0.1412,0.0,0.1481,-0.0558,0.377,0.3602,0.0006,0.2718,0.0153,0.02,0.455,0.2833,1.11,1.11,0.22,0.27,0.8298,0.6701,-0.0135,0.0209,0.1217,0.7222,0.45,-0.0458,-0.1301,0.9859,-0.7802,17.9006,Mar 07/b,88.73,222795.0,True,True,-16.322,6
683,BYON,RUT,Consumer Cyclical,Internet Retail,USA,1540000000.0,-999.0,280.66,-999.0,0.99,4.28,5.1,-999.0,6.64,-999.0,-999.0,-0.79,0.1751,1.075,0.0008,-999.0,0.0249,-0.0505,-8.6315,0.019,0.2787,0.7643,-0.1167,0.1048,-0.6126,-0.7807,1.51,1.45,0.1,0.11,0.1895,-0.1972,-0.0359,0.3303,0.3619,0.9146,3.77,0.2538,-0.1376,1.4705,-0.7364,12.3874,Feb 20/a,33.87,2944198.0,True,True,1.61,5
4025,TTSH,RUT,Consumer Cyclical,Home Improvement Retail,USA,290650000.0,28.24,-999.0,1.41,0.77,2.43,33.72,6.22,0.19,-999.0,0.0,-999.0,-999.0,-999.0,0.0286,0.2,0.0137,-0.0345,-0.5633,0.4267,0.0692,0.4536,-0.2519,0.0119,0.0882,0.0433,1.45,0.27,0.94,1.17,0.5537,0.0267,-0.0397,0.0251,-0.0495,0.4104,1.4,-0.0256,-0.1486,0.6044,-0.7706,69.8411,Feb 29/b,6.53,8057592.0,True,True,-1.852,3
2577,MITT,-999,Real Estate,REIT - Mortgage,USA,170810000.0,3.71,7.52,-999.0,0.62,0.55,1.36,3.49,4.26,0.1241,0.4286,0.14,0.5209,0.2996,-999.0,-999.0,0.4341,-0.0229,3.1354,0.0762,0.0228,0.2807,-0.0327,0.0075,0.1085,0.0067,-999.0,-999.0,9.08,10.53,0.9362,0.129,-0.0445,-0.0413,-0.0413,0.1262,1.99,-0.0594,-0.1582,0.2033,-0.9279,0.6501,Feb 22/b,5.8,306155.0,True,True,False,4
1959,HRTG,-999,Financial,Insurance - Property & Casualty,USA,248110000.0,4.76,4.69,-999.0,0.34,1.13,-999.0,4.1,-999.0,-999.0,0.0,0.56,-0.1522,0.1932,0.1065,-999.0,0.0905,0.0837,1.3801,0.2655,0.0277,0.4728,-0.1262,0.0191,0.2579,0.1281,1.15,-999.0,0.61,0.67,-999.0,0.0614,0.1762,0.3242,0.0874,1.6399,0.84,0.2653,-0.1614,1.976,-0.699,6.3304,Mar 11/a,8.21,1499985.0,True,True,False,4
2488,MATV,RUT,Basic Materials,Specialty Chemicals,USA,970880000.0,-999.0,10.07,-999.0,0.42,1.02,8.08,24.15,2.21,0.0391,-999.0,0.2,0.6562,0.3396,-999.0,0.05,0.1496,-0.3148,67.7316,0.0294,0.0182,0.9329,0.853,0.0291,-0.4612,-0.1474,2.53,1.28,1.22,1.23,0.1815,-0.1347,-0.0067,0.474,0.3754,-0.1809,0.73,0.2491,-0.2039,0.6586,-0.7186,2.1096,Feb 21/a,17.88,435490.0,True,True,-18.063,3
1465,F,S&P 500,Consumer Cyclical,Auto Manufacturers,USA,47920000000.0,11.22,6.62,-999.0,0.27,1.12,1.19,7.17,10.11,0.058,1.162,0.49,-0.0823,-0.0116,0.0318,-0.0504,0.0268,0.0446,-1.4132,0.0202,0.0019,0.5571,0.0047,0.0392,0.1011,0.0302,1.2,1.04,2.36,3.53,0.0914,0.0247,-0.0099,-0.0258,0.0886,0.0449,1.64,0.013,-0.2065,0.2705,-0.6441,17.1746,Feb 06/a,12.06,1673558.0,True,True,-27.937,4
3379,REI,RUT,Energy,Oil & Gas E&P,USA,370130000.0,3.48,3.84,0.09,1.03,0.47,1233.76,8.62,0.0,-999.0,0.0,0.1,-0.1422,0.1124,0.2941,0.37,0.3506,0.0025,2.1714,0.3696,0.0014,0.2418,1.0026,0.1057,0.1449,0.0863,0.49,0.44,0.54,0.55,0.6804,0.2904,0.1987,0.4167,0.255,0.0872,1.73,0.3293,-0.2305,0.496,-0.9093,3.3477,Mar 07/a,1.87,165700.0,True,True,-2.698,6
3015,ORC,RUT,Real Estate,REIT - Mortgage,USA,442210000.0,-999.0,22.39,-999.0,2.85,0.95,1.27,55.28,6.81,0.1671,-999.0,-0.14,0.6128,2.0043,0.2705,-999.0,2.4835,-0.1288,-0.4551,0.0034,0.3477,0.346,0.2381,0.0856,-0.0863,-0.0835,-999.0,-999.0,0.0,7.89,0.9277,-0.2532,0.0,0.0748,0.0474,-0.1414,1.81,0.0204,-0.2351,0.461,-0.8689,0.461,Feb 01/a,8.62,346751.0,True,True,False,4
