No.,Ticker,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,Cash/sh,EPS past 5Y,Sales past 5Y,Insider Trans,Inst Own,Inst Trans,Short Ratio,ROE,Quick R,Debt/Eq,Profit M,SMA50,52W High,52W Low,All-Time High,All-Time Low,Price,Insider 6M Sum,Insider 6M Sum > 100K,Any profit over 5 years
10,CUTR,Healthcare,Medical Devices,USA,54440000.0,-999,-999,-999,0.24,-999,9.0,-999,0.1467,0.0211,1.1131,-0.0073,2.66,-44.4726,2.81,-999,-0.3329,0.0031,-0.9269,0.9783,-0.9633,0.9783,2.73,346300.0,True,True
18,MAXN,Technology,Solar,Singapore,251760000.0,-999,-999,-999,0.21,1.48,5.25,0.3074,0.0748,0.0,0.5141,0.0042,3.39,-1.1212,0.87,2.56,-0.1356,-0.1213,-0.8774,0.2199,-0.9177,0.2199,4.77,0.0,False,False
19,DZSI,Technology,Communication Equipment,USA,53320000.0,-999,3.46,-999,0.14,0.4,0.96,-999,0.076,0.0,0.2721,0.0248,4.5,-0.3981,1.01,0.44,-0.1323,0.0582,-0.8753,0.3441,-0.991,0.3441,1.66,0.0,False,True
21,DADA,Consumer Cyclical,Internet Retail,China,521400000.0,-999,8.93,-999,0.34,0.56,2.3,0.0039,0.4963,0.0,0.2353,-0.0664,1.37,-0.1508,3.26,0.0,-0.0961,-0.3563,-0.8724,0.4686,-0.9675,0.4686,1.99,0.0,False,False
35,LU,Financial,Credit Services,China,1240000000.0,9.29,2.68,-999,0.22,0.1,13.89,0.0951,0.1204,0.0,0.178,-0.105,1.06,0.0104,-999,0.46,0.0235,-0.3292,-0.8366,0.0284,-0.9731,0.0284,2.17,0.0,False,True
36,LPSN,Technology,Software - Application,USA,244140000.0,-999,40.72,-999,0.57,5.25,2.65,-0.5677,0.2004,0.1242,0.7061,-0.0137,2.91,-1.5103,1.15,13.06,-0.2369,-0.0705,-0.8338,0.2961,-0.9582,42.1429,3.02,6137822.0,True,False
40,VERI,Technology,Software - Infrastructure,USA,68690000.0,-999,-999,-999,0.5,3.67,1.94,0.3518,0.5736,0.0099,0.358,0.0124,12.26,-1.4701,0.87,7.58,-0.4792,-0.064,-0.8317,0.25,-0.9753,0.5164,1.85,101992.0,True,False
43,SPWR,Technology,Solar,USA,562910000.0,-999,-999,-999,0.31,1.33,0.61,-999,0.0524,0.0,0.5103,1.2859,3.45,-0.2296,0.47,0.86,-0.0705,-0.2607,-0.8273,0.1707,-0.9702,0.3215,3.21,0.0,False,True
47,DDL,Consumer Defensive,Grocery Stores,China,214150000.0,-999,14.17,-999,0.07,3.96,4.29,-999,0.9924,0.0,0.119,0.0366,9.7,-0.1561,0.86,12.33,-0.0023,-0.3121,-0.8202,0.1174,-0.9741,0.1174,1.19,0.0,False,False
49,CMBM,Technology,Communication Equipment,USA,116770000.0,-999,-999,-999,0.44,0.9,0.99,0.1589,0.0594,0.0023,0.3462,0.0021,1.43,-0.1119,1.36,0.23,-0.055,-0.1199,-0.8155,0.1955,-0.9364,0.1955,4.22,200567.0,True,True
51,MOND,Consumer Cyclical,Travel Services,USA,227560000.0,-999,-999,-999,1.13,-999,0.56,-999,0.3557,0.0013,0.2243,-0.4973,16.77,-0.9989,1.1,4.18,-0.3468,-0.0692,-0.814,0.3802,-0.8439,0.3802,2.65,522720.0,True,False
54,BW,Industrials,Specialty Industrial Machinery,USA,114390000.0,-999,51.2,-999,0.11,-999,0.61,0.6496,-0.0059,0.0945,0.8211,0.0589,1.19,-6.5727,1.09,-999,-0.1365,-0.1601,-0.8126,0.3402,-0.9947,0.6623,1.28,200449.0,True,True
59,AHT,Real Estate,REIT - Hotel & Motel,USA,50730000.0,-999,-999,-999,0.04,-999,10.32,0.4813,0.1285,0.0,0.3605,0.0559,5.05,-999,-999,-999,-0.163,-0.2748,-0.8045,0.1855,-0.9986,0.1855,1.47,0.0,False,False
60,TSE,Basic Materials,Specialty Chemicals,USA,211550000.0,-999,-999,-999,0.06,-999,7.91,-999,0.0828,0.1289,0.8586,-0.059,1.88,-2.3662,1.24,-999,-0.2102,-0.1172,-0.8032,0.1536,-0.9296,0.1536,6.01,763480.0,True,True
61,TPIC,Industrials,Specialty Industrial Machinery,USA,124300000.0,-999,-999,-999,0.08,-999,3.99,-999,0.1184,0.0181,0.987,0.1126,3.16,-0.5478,1.44,1.59,-0.1594,0.0061,-0.801,0.7914,-0.9641,0.7914,2.92,103841.0,True,True
62,OPI,Real Estate,REIT - Office,USA,176020000.0,-999,-999,-999,0.33,0.13,0.81,-999,0.1003,0.0,0.7045,-0.0016,3.71,-0.0193,-999,1.9,-0.0495,-0.3748,-0.8006,0.068,-0.9681,0.068,3.61,0.0,False,True
65,SKIN,Consumer Defensive,Household & Personal Products,USA,368870000.0,-999,56.26,-999,0.92,4.14,4.26,-999,0.4351,0.0049,0.8121,-0.0093,2.13,-0.5113,5.27,8.36,-0.2227,-0.0142,-0.7978,1.0815,-0.9069,1.0815,2.81,1348188.0,True,True
69,SEDG,Technology,Solar,Israel,4080000000.0,19.68,70.88,1.52,1.15,1.64,18.1,-0.0272,0.3686,0.0422,0.9065,0.0173,2.3,0.0958,2.49,0.29,0.0613,-0.1228,-0.7922,0.136,-0.8156,5.3304,71.85,1610670.0,True,True
72,FOSL,Consumer Cyclical,Luxury Goods,USA,67170000.0,-999,-999,-999,0.05,0.24,2.21,0.3874,-0.0853,0.0,0.6566,-0.0806,6.52,-0.4102,1.31,1.57,-0.0928,-0.0314,-0.7895,0.1961,-0.9908,0.1961,1.28,0.0,False,True
73,INGN,Healthcare,Medical Devices,USA,129840000.0,-999,-999,-999,0.4,0.56,5.92,-999,0.0193,0.0,0.9139,-0.0004,3.27,-0.4558,3.33,0.1,-0.4042,-0.0205,-0.7867,0.3487,-0.9806,0.3487,5.57,0.0,False,True
74,PIII,Healthcare,Medical Care Facilities,USA,137140000.0,-999,-999,-999,0.12,0.72,0.5,-999,0.4723,0.0195,0.1958,0.0014,7.92,-0.9498,0.67,0.65,-0.1073,-0.0421,-0.786,0.6993,-0.9289,0.6993,1.19,4211163.0,True,False
75,WOOF,Consumer Cyclical,Specialty Retail,USA,727610000.0,-999,19.55,-999,0.12,0.61,0.53,-999,0.0847,0.0003,0.5623,-0.0701,3.16,-0.6958,0.25,2.54,-0.1989,-0.1721,-0.7845,0.0627,-0.9128,0.0711,2.71,99924.0,False,True
76,GDS,Technology,Information Technology Services,China,1070000000.0,-999,-999,-999,0.77,0.37,5.63,-0.1995,0.352,0.0,0.2203,-0.119,10.56,-0.0567,1.52,2.08,-0.1389,-0.366,-0.782,0.0974,-0.9499,0.1059,5.85,0.0,False,False
83,MPW,Real Estate,REIT - Healthcare Facilities,USA,1940000000.0,-999,4.38,-999,1.41,0.23,0.57,0.1291,0.1966,0.0,0.7675,0.0048,7.54,-0.0041,-999,1.23,-0.0254,-0.2867,-0.7686,0.1096,-0.8666,0.1739,3.24,0.0,False,True
88,BRBS,Financial,Banks - Regional,USA,59140000.0,-999,-999,-999,0.3,0.32,-999,0.0402,0.5375,0.0,0.4078,0.0158,10.29,-0.2443,-999,1.45,-0.2722,0.037,-0.7631,0.5031,-0.8398,0.5031,3.08,0.0,False,True
