No.,Ticker,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,Cash/sh,EPS past 5Y,Sales past 5Y,Insider Trans,Inst Own,Inst Trans,Short Ratio,ROE,Quick R,Debt/Eq,Profit M,SMA50,52W High,52W Low,All-Time High,All-Time Low,Price,Insider 6M Sum,Insider 6M Sum > 100K,Any profit over 5 years
10,CUTR,Healthcare,Medical Devices,USA,54440000.0,-999,-999,-999,0.24,-999,9.0,-999,0.1467,0.0211,1.1131,-0.0073,2.66,-44.4726,2.81,-999,-0.3329,0.0031,-0.9269,0.9783,-0.9633,0.9783,2.73,346300.0,True,True
49,CMBM,Technology,Communication Equipment,USA,116770000.0,-999,-999,-999,0.44,0.9,0.99,0.1589,0.0594,0.0023,0.3462,0.0021,1.43,-0.1119,1.36,0.23,-0.055,-0.1199,-0.8155,0.1955,-0.9364,0.1955,4.22,200567.0,True,True
54,BW,Industrials,Specialty Industrial Machinery,USA,114390000.0,-999,51.2,-999,0.11,-999,0.61,0.6496,-0.0059,0.0945,0.8211,0.0589,1.19,-6.5727,1.09,-999,-0.1365,-0.1601,-0.8126,0.3402,-0.9947,0.6623,1.28,200449.0,True,True
60,TSE,Basic Materials,Specialty Chemicals,USA,211550000.0,-999,-999,-999,0.06,-999,7.91,-999,0.0828,0.1289,0.8586,-0.059,1.88,-2.3662,1.24,-999,-0.2102,-0.1172,-0.8032,0.1536,-0.9296,0.1536,6.01,763480.0,True,True
61,TPIC,Industrials,Specialty Industrial Machinery,USA,124300000.0,-999,-999,-999,0.08,-999,3.99,-999,0.1184,0.0181,0.987,0.1126,3.16,-0.5478,1.44,1.59,-0.1594,0.0061,-0.801,0.7914,-0.9641,0.7914,2.92,103841.0,True,True
65,SKIN,Consumer Defensive,Household & Personal Products,USA,368870000.0,-999,56.26,-999,0.92,4.14,4.26,-999,0.4351,0.0049,0.8121,-0.0093,2.13,-0.5113,5.27,8.36,-0.2227,-0.0142,-0.7978,1.0815,-0.9069,1.0815,2.81,1348188.0,True,True
69,SEDG,Technology,Solar,Israel,4080000000.0,19.68,70.88,1.52,1.15,1.64,18.1,-0.0272,0.3686,0.0422,0.9065,0.0173,2.3,0.0958,2.49,0.29,0.0613,-0.1228,-0.7922,0.136,-0.8156,5.3304,71.85,1610670.0,True,True
99,COMM,Technology,Communication Equipment,USA,486680000.0,-999,3.0,-999,0.06,-999,2.45,-999,0.2325,0.0688,0.904,-0.002,2.26,-18.3838,1.2,-999,-0.2674,0.0552,-0.7441,0.7127,-0.9463,0.7127,2.3,906835.0,True,True
102,IHRT,Communication Services,Broadcasting,USA,335610000.0,-999,22.91,-999,0.09,-999,1.48,0.1753,0.0317,0.0052,0.7644,-0.0056,6.57,-12.3276,1.82,-999,-0.2719,-0.0567,-0.7425,0.307,-0.9178,0.307,2.32,407016.0,True,True
117,TCS,Consumer Cyclical,Specialty Retail,USA,82750000.0,-999,24.0,-999,0.09,0.35,0.2,-999,0.0421,0.006,0.3909,-0.0158,1.96,-0.6593,0.29,2.49,-0.235,-0.2008,-0.7241,0.0667,-0.966,0.0667,1.6,255552.0,True,True
