No.,Ticker,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,Cash/sh,EPS past 5Y,Sales past 5Y,Insider Trans,Inst Own,Inst Trans,Short Ratio,ROE,Quick R,Debt/Eq,Profit M,SMA50,52W High,52W Low,All-Time High,All-Time Low,Price
1,A,Healthcare,Diagnostics & Research,USA,38960000000.0,31.66,21.97,4.11,5.7,6.65,5.43,0.3393,0.07,-0.0701,0.9019,-0.0329,1.57,0.2224,1.97,0.5,0.1815,0.0112,-0.1547,0.3737,-0.2595,17.7954,132.97
2,AA,Basic Materials,Aluminum,USA,5260000000.0,-,12.06,-,0.49,1.17,5.63,-,-0.0301,0.0,0.8231,-0.0566,1.85,-0.1396,0.74,0.43,-0.0608,0.0097,-0.4709,0.2783,-0.6994,4.7151,29.49
3,AACI,Financial,Shell Companies,USA,88120000.0,-,-,-,-,5.24,0.01,-,0.0,0.0,0.292,0.2016,0.03,-0.0039,0.01,0.15,-,0.014,-0.0009,0.092,-0.1049,0.2757,10.92
4,AACT,Financial,Shell Companies,USA,656880000.0,-,-,-,-,1.33,0.04,-,0.0,0.0,0.6375,-,0.05,-,8.96,0.01,-,0.008,-0.0228,0.0411,-0.0228,0.0411,10.51
5,AAL,Industrials,Airlines,USA,9520000000.0,13.39,4.56,0.27,0.18,-,12.99,-0.1677,0.1693,-0.0018,0.6005,0.0146,1.33,-,0.51,-,0.0156,0.0634,-0.2369,0.3407,-0.7536,0.7648,14.56
6,AAN,Industrials,Rental & Leasing Services,USA,306640000.0,34.43,9.3,-,0.14,0.44,1.3,-,0.0623,0.0851,0.8976,-0.0744,1.93,0.0133,-,0.98,0.0042,-0.0327,-0.3744,0.5045,-0.7303,0.5045,10.11
7,AAOI,Technology,Communication Equipment,USA,669220000.0,-,43.45,-,3.06,3.62,0.88,-,-0.0256,-0.0705,0.5004,-0.0268,2.57,-0.3313,0.51,0.74,-0.2854,0.0439,-0.218,10.7687,-0.8179,11.723,18.83
8,AAON,Industrials,Building Products & Equipment,USA,5960000000.0,35.92,30.68,2.99,5.34,8.73,0.28,0.1249,0.2199,-0.0212,0.7176,-0.002,6.61,0.281,1.5,0.15,0.1518,0.0585,-0.0255,0.4672,-0.0255,2755.0272,73.32
9,AAP,Consumer Cyclical,Specialty Retail,USA,4030000000.0,21.73,18.43,-,0.36,1.52,5.34,0.0518,0.0392,0.0164,0.99,-0.0344,3.04,0.0694,0.27,1.51,0.0165,0.1317,-0.5715,0.4203,-0.7228,4.498,67.79
10,AAPL,Technology,Consumer Electronics,USA,2873590000000.0,28.92,26.03,2.63,7.45,38.78,4.73,0.1555,0.0834,-0.0449,0.6106,-0.0047,1.86,1.5427,1.02,1.46,0.2616,-0.0258,-0.069,0.2915,-0.069,3783.5858,185.85
11,AAT,Real Estate,REIT - Diversified,USA,1350000000.0,28.22,30.52,-,3.11,1.12,1.48,0.0316,0.0658,0.0,0.7698,-0.018,3.93,0.0412,-,1.43,0.1139,0.0073,-0.2506,0.3889,-0.5477,0.3889,22.28
12,AB,Financial,Asset Management,USA,3740000000.0,15.06,11.2,-,-,1.89,0.0,0.0426,0.0,-0.0017,0.154,0.0271,2.23,0.1406,-,0.0,-,0.0712,-0.2045,0.2935,-0.6481,12.8847,33.41
13,ABBV,Healthcare,Drug Manufacturers - General,USA,297790000000.0,61.86,13.79,-,5.48,24.62,7.53,-0.0561,0.1631,-0.0013,0.7163,0.001,2.48,0.4615,0.84,5.02,0.0889,0.0898,0.0043,0.2879,-0.0412,4.1882,168.67
14,ABCB,Financial,Banks - Regional,USA,3400000000.0,12.64,10.19,1.58,2.33,0.99,-,0.0681,0.2693,0.0,0.9142,0.0045,3.28,0.0812,-,0.19,0.1844,-0.0024,-0.0883,0.7374,-0.1776,13.6679,49.22
15,ABCL,Healthcare,Biotechnology,Canada,1450000000.0,-,-,-,28.85,1.22,2.79,3.0835,5.0744,0.0,0.3811,0.1126,16.56,-0.1062,8.33,0.07,-2.5627,-0.0424,-0.5596,0.2946,-0.9303,0.2946,5.01
16,ABEO,Healthcare,Biotechnology,USA,109480000.0,-,-,-,30.67,4.96,2.18,0.1964,-0.5572,-0.0105,0.5204,0.2573,3.01,-2.0679,6.81,0.26,-10.8529,-0.0963,-0.2559,1.0183,-1.0,1.0183,4.42
17,ABG,Consumer Cyclical,Auto & Truck Dealerships,USA,4390000000.0,5.09,6.64,-,0.3,1.35,2.38,0.464,0.2466,-0.0697,1.0911,0.0141,13.52,0.3056,0.82,1.08,0.0612,-0.0048,-0.1682,0.1955,-0.1682,132.2938,213.27
18,ABM,Industrials,Specialty Business Services,USA,2600000000.0,10.9,11.39,2.99,0.32,1.44,1.11,0.2081,0.0522,-0.0425,0.9318,-0.0326,2.81,0.1429,1.4,0.81,0.031,-0.0432,-0.2215,0.0981,-0.2556,24.5794,41.3
19,ABNB,Consumer Cyclical,Travel Services,USA,93800000000.0,17.75,33.82,0.83,9.77,10.26,17.16,-,0.2986,-0.018,0.5176,-0.0118,3.67,0.7447,1.78,0.25,0.5687,0.0588,-0.0542,0.4153,-0.3337,0.7892,146.55
