No.,Ticker,Index,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,Cash/sh,Dividend,Payout Ratio,EPS next Q,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Sales Q/Q,EPS Q/Q,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Profit M,Perf Week,Perf Month,Perf Quart,Perf Year,Beta,SMA50,52W High,52W Low,All-Time High,All-Time Low,Earnings,Price
1,A,S&P 500,Healthcare,Diagnostics & Research,USA,40150000000.0,32.67,22.46,3.44,5.96,6.49,22.97,24.35,5.97,0.0069,0.2148,1.19,0.0111,0.1093,0.3393,0.095,0.07,-0.0558,-0.0044,0.0038,-0.0793,0.9099,-0.0329,0.011,0.2095,0.1414,2.68,2.04,0.41,0.41,0.5446,0.1835,0.0124,0.0315,0.096,-0.0364,1.11,0.0252,-0.0579,0.4154,-0.237,18.3665,Feb 27/a,137.01
2,AA,-,Basic Materials,Aluminum,USA,4730000000.0,-,12.35,-,0.44,1.11,4.39,-,5.99,0.013,-,0.4,1.0654,13.3497,-,0.123,-0.0277,-0.0385,0.6023,0.0121,0.0,0.8441,-0.0563,0.0633,-0.1396,-0.1069,1.45,0.74,0.43,0.46,0.0225,-0.0608,-0.0587,-0.1485,0.0008,-0.4521,2.45,-0.1097,-0.5278,0.1409,-0.7317,4.1008,Jan 17/a,26.32
3,AACI,-,Financial,Shell Companies,USA,89170000.0,-,-,-,-,5.36,1783.39,-,0.01,-,-,-,-,-,-,-,0.0,-,-2.5222,0.6871,0.0,0.2858,0.2029,0.0002,-0.0156,-0.0774,0.01,0.01,0.0,0.17,-,-,0.0063,0.0156,0.0327,0.1229,0.01,0.0188,-0.0,0.1016,-0.0943,0.2908,-,11.05
4,AACT,-,Financial,Shell Companies,USA,655000000.0,-,-,-,-,1.32,291.11,-,0.04,-,-,-,-,-,-,-,0.0,-,-,0.212,0.0,0.6894,-,0.0001,-,-,8.96,8.96,0.01,0.01,-,-,-0.0057,-0.001,0.0126,-,-,0.0005,-0.0256,0.0381,-0.0256,0.0381,-,10.48
5,AADI,RUT,Healthcare,Biotechnology,USA,50780000.0,-,-,-,2.18,0.43,0.43,-,4.86,-,-,-0.65,0.0736,-0.0724,0.2951,-,2.6656,0.4038,0.1109,0.2936,-0.0338,0.4167,0.1363,0.0571,-0.4414,-0.5322,6.48,6.3,0.01,0.06,0.915,-2.7266,0.107,0.1965,-0.5642,-0.8099,0.58,0.1093,-0.8118,0.3355,-0.9796,0.3355,Nov 08/b,2.07
6,AAL,S&P 500,Industrials,Airlines,USA,10120000000.0,14.21,4.75,0.29,0.19,-,1.19,8.39,12.96,-,0.0,-0.23,-0.0463,0.2874,-0.1773,0.487,0.1693,-0.0096,-0.9742,0.0189,-0.0014,0.5237,0.0146,0.0645,-,0.0269,0.62,0.51,-,-,0.2237,0.0156,0.0453,0.0348,0.2693,-0.0109,1.57,0.0768,-0.1897,0.4236,-0.7383,0.8739,Jan 25/b,15.46
7,AAN,RUT,Industrials,Rental & Leasing Services,USA,244760000.0,109.2,12.89,-,0.11,0.36,4.15,2.85,1.95,0.062,5.5556,-0.07,-0.884,5.6596,-0.4289,-,0.0401,-0.1019,-1.1545,0.0412,0.0851,0.9259,-0.0744,0.0238,0.0041,0.002,-,-,1.02,1.02,0.5194,0.0013,-0.2218,-0.2521,-0.1073,-0.4349,1.36,-0.2388,-0.5006,0.2009,-0.7847,0.2009,Feb 26/a,8.07
8,AAOI,-,Technology,Communication Equipment,USA,540670000.0,-,16.17,-,2.48,2.5,9.81,-,1.43,-,-,-0.29,0.7788,10.3746,-0.7426,0.13,-0.0251,-0.0184,0.4671,0.0766,-0.0107,0.6367,-0.0268,0.2278,-0.2806,-0.1895,1.85,1.16,0.38,0.56,0.2672,-0.2575,-0.2663,-0.1181,-0.0222,4.4363,2.04,-0.2534,-0.4311,7.8,-0.8638,8.5135,Feb 22/a,14.08
9,AAON,RUT,Industrials,Building Products & Equipment,USA,7060000000.0,42.57,30.93,3.55,6.32,10.34,313.21,240.87,0.28,0.0046,0.2317,0.45,0.0409,0.2271,0.1249,0.12,0.2199,0.2859,0.6986,0.178,-0.0212,0.7146,-0.002,0.0384,0.281,0.2162,3.03,1.5,0.15,0.15,0.3168,0.1518,0.0609,0.2238,0.3659,0.5996,0.92,0.1568,-0.0074,0.6635,-0.0074,3265.4862,Feb 28/a,86.9
10,AAP,-,Consumer Cyclical,Specialty Retail,USA,3950000000.0,89.71,15.24,-,0.35,1.49,7.85,90.54,8.46,0.0151,4.5,0.78,6.5191,0.159,-0.386,-,0.0392,-0.0036,-1.3299,0.0106,0.0164,1.016,-0.0336,0.0823,0.017,0.0068,1.2,0.29,1.59,1.59,0.4245,0.0039,0.0858,-0.0081,0.3021,-0.5277,1.16,0.0494,-0.5386,0.3916,-0.7284,4.3869,Feb 28/b,66.42
