No.,Ticker,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,Cash/sh,EPS past 5Y,Sales past 5Y,Insider Trans,Inst Own,Inst Trans,"

Short Ratio",ROE,Quick R,Debt/Eq,Profit M,SMA50,52W High,52W Low,All-Time High,All-Time Low,Price
1,CMPO,Industrials,Metal Fabrication,USA,104010000.0,6.88,5.07,-,0.27,-,1.25,-,0.2204,0.0015,0.9953,0.002,38.33,-,1.44,-,0.0462,0.0393,-0.3089,0.1767,-0.4921,0.2817,5.46
2,DM,Technology,Computer Hardware,USA,204000000.0,-,-,-,1.03,0.5,0.34,-5.5217,1.5769,0.0,0.3909,0.0529,18.64,-0.7607,1.91,0.35,-2.3298,-0.1232,-0.7536,0.1019,-0.982,0.1019,0.63
3,TRUP,Financial,Insurance - Specialty,USA,1190000000.0,-,-,-,1.13,4.13,-,-0.8483,0.3145,-0.002,0.9435,0.0501,16.46,-0.1741,-,0.45,-0.0489,-0.0016,-0.5844,0.5577,-0.8184,4.516,28.74
4,PROK,Healthcare,Biotechnology,USA,99370000.0,-,-,-,-,-,5.9,-,0.0,-0.3428,0.5195,0.0212,14.56,-,19.37,-,-,-0.1065,-0.8957,0.3214,-0.8957,0.3214,1.48
5,ATMU,Industrials,Pollution & Treatment Controls,USA,1890000000.0,-,-,-,-,54.92,1.67,-,0.1265,0.0001,0.2705,-,14.26,-,1.16,18.23,-,-0.0022,-0.1067,0.2455,-0.1067,0.2455,22.68
6,SAVA,Healthcare,Biotechnology,USA,1050000000.0,-,-,-,-,6.77,3.37,-0.0083,0.0,0.019,0.3089,0.0526,11.34,-0.5394,8.62,0.0,-,0.0297,-0.2368,1.0219,-0.8296,31.7763,24.91
7,ABR,Real Estate,REIT - Mortgage,USA,2690000000.0,8.06,7.6,1.01,1.68,1.09,6.97,0.0835,0.2333,0.0037,0.5579,0.0003,11.2,0.1242,-,3.95,0.2042,0.0075,-0.1967,0.4109,-0.5803,24.8195,14.25
8,LAZR,Consumer Cyclical,Auto Parts,USA,1190000000.0,-,-,-,20.24,-,0.81,-6.4793,0.4177,-0.0004,0.3139,0.0142,10.97,-24.2467,4.32,-,-9.656,0.0454,-0.7194,0.4163,-0.9381,0.4163,2.96
9,SVV,Consumer Cyclical,Specialty Retail,USA,2930000000.0,74.77,-,-,1.97,9.34,0.78,-,0.1097,-0.0002,0.1811,-,10.85,0.1217,0.77,4.05,0.024,0.1428,-0.3218,0.7943,-0.3218,0.7943,18.23
10,GES,Consumer Cyclical,Apparel Retail,USA,1240000000.0,8.84,7.96,2.01,0.46,2.42,4.55,-,0.0498,-0.0436,0.6537,-0.0736,9.0,0.3785,0.8,2.45,0.0653,0.0135,-0.0672,0.3463,-0.5574,14.3423,23.17
