No.,Ticker,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,Cash/sh,EPS past 5Y,Sales past 5Y,Insider Trans,Inst Own,Inst Trans,"

Short Ratio",ROE,Quick R,Debt/Eq,Profit M,SMA50,52W High,52W Low,All-Time High,All-Time Low,Price
1,CMPO,Industrials,Metal Fabrication,USA,93540000.0,6.19,4.56,-,0.24,-,1.25,-,0.2204,0.0014,0.9789,0.002,35.78,-,1.44,-,0.0462,-0.0562,-0.3785,0.0582,-0.5433,0.1526,4.91
2,TRUP,Financial,Insurance - Specialty,USA,1270000000.0,-,-,-,1.2,4.41,-,-0.8483,0.3145,-0.002,0.9551,0.0502,18.41,-0.1741,-,0.45,-0.0489,0.0523,-0.5139,0.6618,-0.8063,4.8845,30.66
3,DM,Technology,Computer Hardware,USA,194190000.0,-,-,-,0.98,0.48,0.34,-5.5217,1.5769,0.0,0.3848,0.0529,17.89,-0.7607,1.91,0.35,-2.3298,-0.1268,-0.7655,0.0489,-0.9829,0.0489,0.6
4,PROK,Healthcare,Biotechnology,USA,81910000.0,-,-,-,-,-,5.9,-,0.0,-0.3409,0.5191,0.0212,15.2,-,19.37,-,-,-0.241,-0.914,0.0893,-0.914,0.0893,1.22
5,ATMU,Industrials,Pollution & Treatment Controls,USA,1830000000.0,-,-,-,-,53.08,1.67,-,0.1265,0.0001,0.2709,-,14.64,-,1.16,18.23,-,-0.0431,-0.1367,0.2037,-0.1367,0.2037,21.92
6,PHAT,Healthcare,Biotechnology,USA,385860000.0,-,-,-,-,-,3.73,-2.1324,0.0,-0.1082,0.4242,0.0705,14.08,-34.89,9.45,-,-,-0.1526,-0.604,0.1541,-0.8956,0.1541,6.74
7,SAVA,Healthcare,Biotechnology,USA,1060000000.0,-,-,-,-,6.81,3.37,-0.0083,0.0,0.0123,0.3104,0.0526,12.71,-0.5394,8.62,0.0,-,0.0183,-0.2193,1.0341,-0.8285,31.9737,25.06
8,LAZR,Consumer Cyclical,Auto Parts,USA,1170000000.0,-,-,-,19.9,-,0.81,-6.4793,0.4177,-0.0004,0.3166,0.0142,11.01,-24.2467,4.32,-,-9.656,0.0258,-0.7242,0.3923,-0.9391,0.3923,2.91
9,ABR,Real Estate,REIT - Mortgage,USA,2320000000.0,6.97,6.85,0.87,1.45,0.94,6.97,0.0835,0.2333,0.0037,0.5597,0.0003,10.74,0.1242,-,3.95,0.2042,-0.1338,-0.2636,0.3371,-0.5906,24.1834,12.33
10,LMND,Financial,Insurance - Property & Casualty,USA,1160000000.0,-,-,-,3.47,1.59,-,-0.5599,0.8822,0.0,0.3661,0.0684,9.48,-0.3161,-,0.05,-0.774,-0.0296,-0.3325,0.6132,-0.9121,0.6132,16.56
11,GES,Consumer Cyclical,Apparel Retail,USA,1250000000.0,8.92,8.03,2.03,0.46,2.44,4.55,-,0.0362,-0.0437,0.6635,-0.0736,8.94,0.3785,0.8,2.45,0.0653,0.0216,-0.0596,0.3574,-0.5538,14.4681,23.36
