Asset Category,Currency,Symbol,Date/Time,Quantity,T. Price,Comm/Fee
Cash,USD,Cash,14/12/2023,1,7850,0
Stocks,USD,CLFD,20/12/2023,26,28,-0.30085725
Stocks,USD,DQ,20/12/2023,30,24.49,-0.35625725
Stocks,USD,ENPH,12/1/2024,8,111,-0.33905725
Stocks,USD,FLJP,15/12/2023,200,27.29,-0.4205145
Stocks,USD,FLJP,11/1/2024,-50,28.505,-0.37995925
Stocks,USD,FLJP,14/2/2024,-30,29.02,-0.32020205
Stocks,USD,FUTU,18/12/2023,15,53.89,-0.32175725
Stocks,USD,TSE,11/1/2024,99,6.35,-0.25125725
Stocks,USD,TSE,18/1/2024,-99,5.48,-0.27203141
Equity and Index Options,USD,NYCB260116C00003000,8/2/2024,2,2.5,-0.7063
Stocks,USD,PARA,15/2/2024,75,12.5,-0.21
Stocks,USD,DQ,26/2/2024,-30,18.6,-0.35625725
